Unnamed: 0_level_0_Squad,Unnamed: 1_level_0_# Pl,Unnamed: 2_level_0_90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG
BTSV,30,34.0,74,6,3,365,373,45,595,371,270,1,9,1
Düsseldorf,27,34.0,73,1,1,352,340,51,736,271,305,5,3,1
Elversberg,25,34.0,68,1,0,364,358,70,490,332,386,3,7,0
Greuther Fürth,26,34.0,66,2,2,429,439,72,604,244,258,6,5,0
Hamburger SV,27,34.0,76,6,2,414,361,77,764,296,363,6,5,2
Hannover 96,27,34.0,61,4,1,403,396,66,679,277,326,6,4,2
Hansa Rostock,27,34.0,81,4,1,526,335,80,656,286,378,2,4,2
Hertha BSC,32,34.0,71,4,2,431,336,68,625,340,320,5,6,2
Holstein Kiel,28,34.0,74,3,3,426,349,68,571,322,345,5,5,0
Kaiserslautern,31,34.0,69,5,1,371,435,42,690,278,298,4,8,0
Karlsruher,26,34.0,61,0,0,350,357,62,731,254,306,3,3,1
Magdeburg,25,34.0,81,5,1,372,444,66,444,293,300,5,5,1
Nürnberg,31,34.0,87,6,2,364,420,86,531,262,321,4,6,0
Osnabrück,28,34.0,81,6,5,385,465,58,650,322,339,6,8,1
Paderborn 07,31,34.0,61,5,2,373,352,49,611,254,277,3,4,0
Schalke 04,35,34.0,78,4,3,429,348,63,713,307,317,4,6,2
St. Pauli,26,34.0,63,4,3,324,364,59,673,229,242,1,4,0
Wehen,25,34.0,78,6,4,399,322,57,570,334,398,2,7,0
