Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Squad,Home_MP,Home_W,Home_D,Home_L,Home_GF,Home_GA,Home_GD,Home_Pts,Home_Pts/MP,Away_MP,Away_W,Away_D,Away_L,Away_GF,Away_GA,Away_GD,Away_Pts,Away_Pts/MP
1,St. Pauli,17,11,5,1,35,15,20,38,2.24,17,9,4,4,27,21,6,31,1.82
2,Holstein Kiel,17,9,2,6,33,26,7,29,1.71,17,12,3,2,32,13,19,39,2.29
3,Düsseldorf,17,10,3,4,32,21,11,33,1.94,17,8,6,3,40,19,21,30,1.76
4,Hamburger SV,17,12,0,5,36,19,17,36,2.12,17,5,7,5,28,25,3,22,1.29
5,Karlsruher,17,9,5,3,40,23,17,32,1.88,17,6,5,6,28,25,3,23,1.35
6,Hannover 96,17,8,6,3,35,20,15,30,1.76,17,5,7,5,24,24,0,22,1.29
7,Paderborn 07,17,7,4,6,26,25,1,25,1.47,17,8,3,6,28,29,-1,27,1.59
8,Greuther Fürth,17,10,4,3,33,20,13,34,2.0,17,4,4,9,17,29,-12,16,0.94
9,Hertha BSC,17,8,6,3,43,22,21,30,1.76,17,5,3,9,26,37,-11,18,1.06
10,Schalke 04,17,9,4,4,31,21,10,31,1.82,17,3,3,11,22,39,-17,12,0.71
11,Elversberg,17,6,4,7,23,28,-5,22,1.29,17,6,3,8,26,35,-9,21,1.24
12,Nürnberg,17,6,4,7,21,27,-6,22,1.29,17,5,3,9,22,37,-15,18,1.06
13,Kaiserslautern,17,8,2,7,36,31,5,26,1.53,17,3,4,10,23,33,-10,13,0.76
14,Magdeburg,17,6,6,5,27,23,4,24,1.41,17,3,5,9,19,31,-12,14,0.82
15,BTSV,17,7,4,6,21,21,0,25,1.47,17,4,1,12,16,32,-16,13,0.76
16,Wehen,18,4,5,9,19,27,-8,17,0.94,18,4,4,10,20,27,-7,16,0.89
17,Hansa Rostock,17,6,2,9,20,27,-7,20,1.18,17,3,2,12,10,30,-20,11,0.65
18,Osnabrück,17,4,5,8,15,28,-13,17,1.0,17,2,5,10,16,41,-25,11,0.65
