Rk,球队,场次,W,D,L,进球,失球,净胜球,积分,Pts/MP,Attendance,Top Team Scorer,Goalkeeper,Notes
1,St. Pauli,34,20,9,5,62,36,26,69,2.03,29424,Marcel Hartel - 17,Nikola Vasilj,Promoted
2,Holstein Kiel,34,21,5,8,65,39,26,68,2.0,13870,Steven Skrzybski - 10,Timon Weiner,Promoted
3,Düsseldorf,34,18,9,7,72,40,32,63,1.85,39672,Christos Tzolis - 22,Florian Kastenmeier,→ German 1/2 Relegation/Promotion play-offs
4,Hamburger SV,34,17,7,10,64,44,20,58,1.71,55842,Robert Glatzel - 22,Daniel Heuer Fernandes,
5,Karlsruher,34,15,10,9,68,48,20,55,1.62,27077,Igor Matanovic - 14,Patrick Drewes,
6,Hannover 96,34,13,13,8,59,44,15,52,1.53,37641,Cedric Teuchert - 11,Ron-Robert Zieler,
7,Paderborn 07,34,15,7,12,54,54,0,52,1.53,13179,Adriano Grimaldi - 9,Pelle Boevink,
8,Greuther Fürth,34,14,8,12,50,49,1,50,1.47,12462,Armindo Sieb - 12,Jonas Urbig,
9,Hertha BSC,34,13,9,12,69,59,10,48,1.41,50969,Haris Tabakovic - 22,Tjark Ernst,
10,Schalke 04,34,12,7,15,53,60,-7,43,1.26,61500,Kenan Karaman - 13,Marius Müller,
11,Elversberg,34,12,7,15,49,63,-14,43,1.26,8913,Luca Schnellbacher - 8,Nicolas Kristof,
12,Nürnberg,34,11,7,16,43,64,-21,40,1.18,34193,Can Uzun - 16,Carl Klaus,
13,Kaiserslautern,34,11,6,17,59,64,-5,39,1.15,43538,Ragnar Ache - 16,Julian Krahl,
14,Magdeburg,34,9,11,14,46,54,-8,38,1.12,25004,Jan Luca Schuler - 6,Dominik Reimann,
15,BTSV,34,11,5,18,37,53,-16,38,1.12,20692,Rayan Philippe - 8,Ron-Thorben Hoffmann,
16,Wehen,34,8,8,18,36,50,-14,32,0.94,9451,Ivan Prtajin - 13,Florian Stritzel,→ German 2/3 Relegation/Promotion play-offs
17,Hansa Rostock,34,9,4,21,30,57,-27,31,0.91,26215,"Kai Pröger, Júnior Brumado... - 4",Markus Kolke,Relegated
18,Osnabrück,34,6,10,18,31,69,-38,28,0.82,14340,Erik Engelhardt - 10,Philipp Kühn,Relegated
