Unnamed: 0_level_0_Squad,Unnamed: 1_level_0_# Pl,Unnamed: 2_level_0_Age,Unnamed: 3_level_0_Poss,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK
BTSV,29,26.8,45.2,34,374,3060,34.0,37,26,63,33,4,5,90,4,1.09,0.76,1.85,0.97,1.74
Darmstadt 98,27,25.9,51.8,34,374,3060,34.0,56,37,93,52,4,5,84,4,1.65,1.09,2.74,1.53,2.62
Düsseldorf,32,26.1,49.9,34,374,3060,34.0,54,39,93,46,8,9,89,3,1.59,1.15,2.74,1.35,2.5
Elversberg,23,24.9,52.4,34,374,3060,34.0,64,48,112,58,6,7,69,3,1.88,1.41,3.29,1.71,3.12
Greuther Fürth,32,25.7,45.8,34,374,3060,34.0,45,32,77,39,6,7,73,3,1.32,0.94,2.26,1.15,2.09
Hamburger SV,32,26.5,55.1,34,374,3060,34.0,76,53,129,71,5,7,85,5,2.24,1.56,3.79,2.09,3.65
Hannover 96,24,27.1,49.1,34,374,3060,34.0,38,22,60,35,3,3,83,4,1.12,0.65,1.76,1.03,1.68
Hertha BSC,29,25.0,53.2,34,374,3060,34.0,46,38,84,41,5,5,84,2,1.35,1.12,2.47,1.21,2.32
Jahn R'burg,30,26.0,39.8,34,374,3060,34.0,22,10,32,19,3,4,78,4,0.65,0.29,0.94,0.56,0.85
Kaiserslautern,31,26.2,52.3,34,374,3060,34.0,56,40,96,50,6,6,81,1,1.65,1.18,2.82,1.47,2.65
Karlsruher,29,26.6,48.7,34,374,3060,34.0,56,36,92,54,2,4,86,0,1.65,1.06,2.71,1.59,2.65
Köln,32,25.4,53.0,34,374,3060,34.0,53,42,95,49,4,6,73,1,1.56,1.24,2.79,1.44,2.68
Magdeburg,29,26.4,57.8,34,374,3060,34.0,64,47,111,61,3,4,85,4,1.88,1.38,3.26,1.79,3.18
Nürnberg,36,23.9,51.2,34,374,3060,34.0,58,42,100,55,3,5,85,3,1.71,1.24,2.94,1.62,2.85
Paderborn 07,31,25.0,52.0,34,374,3060,34.0,55,40,95,50,5,7,68,5,1.62,1.18,2.79,1.47,2.65
Preußen Münster,27,27.1,43.1,34,374,3060,34.0,39,27,66,36,3,3,101,0,1.15,0.79,1.94,1.06,1.85
Schalke 04,35,26.2,54.0,34,374,3060,34.0,52,32,84,50,2,2,83,5,1.53,0.94,2.47,1.47,2.41
Ulm,28,25.5,46.6,34,374,3060,34.0,36,25,61,31,5,7,88,4,1.06,0.74,1.79,0.91,1.65
