Rk,球队,场次,W,D,L,进球,失球,净胜球,积分,Pts/MP,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Köln,34,18,7,9,53,38,15,61,1.79,49929,"Tim Lemperle, Damion Downs - 10",Marvin Schwäbe,Promoted
2,Hamburger SV,34,16,11,7,78,44,34,59,1.74,56323,Davie Selke - 22,Daniel Heuer Fernandes,Promoted
3,Elversberg,34,16,10,8,64,37,27,58,1.71,9326,Fisnik Asllani - 18,Nicolas Kristof,→ German 1/2 Relegation/Promotion play-offs
4,Paderborn 07,34,15,10,9,56,46,10,55,1.62,14058,Filip Bilbija - 9,Manuel Riemann,
5,Magdeburg,34,14,11,9,64,52,12,53,1.56,25290,Martijn Kaars - 19,Dominik Reimann,
6,Düsseldorf,34,14,11,9,57,52,5,53,1.56,41749,Dawid Kownacki - 13,Florian Kastenmeier,
7,Kaiserslautern,34,15,8,11,56,55,1,53,1.56,46312,Ragnar Ache - 18,Julian Krahl,
8,Karlsruher,34,14,10,10,57,55,2,52,1.53,29490,Marvin Wanitzek - 13,Max Weiß,
9,Hannover 96,34,13,12,9,41,36,5,51,1.5,38241,Nicolo Tresoldi - 7,Ron-Robert Zieler,
10,Nürnberg,34,14,6,14,60,57,3,48,1.41,37431,Stefanos Tzimas - 12,Jan Reichert,
11,Hertha BSC,34,12,8,14,49,51,-2,44,1.29,53191,Fabian Reese - 11,Tjark Ernst,
12,Darmstadt 98,34,11,9,14,56,55,1,42,1.24,17475,Isac Lidberg - 14,Marcel Schuhen,
13,Greuther Fürth,34,10,9,15,45,59,-14,39,1.15,13071,Noel Futkeu - 11,Nahuel Noll,
14,Schalke 04,34,10,8,16,52,62,-10,38,1.12,61533,Moussa Sylla - 16,Justin Heekeren,
15,Preußen Münster,34,8,12,14,40,43,-3,36,1.06,12253,Joshua Mees - 9,Johannes Schenk,
16,BTSV,34,8,11,15,38,64,-26,35,1.03,21109,Rayan Philippe - 13,Ron-Thorben Hoffmann,→ German 2/3 Relegation/Promotion play-offs
17,Ulm,34,6,12,16,36,48,-12,30,0.88,15790,Semir Telalovic - 12,Christian Ortag,Relegated
18,Jahn R'burg,34,6,7,21,23,71,-48,25,0.74,12628,Noah Ganaus - 5,Felix Gebhardt,Relegated
