Date,Home,Away,Score,HomeGoals,AwayGoals
2025-08-01,Schalke 04,Hertha BSC,2–1,2,1
2025-08-02,Elversberg,Nürnberg,1–0,1,0
2025-08-02,Darmstadt 98,Bochum,4–1,4,1
2025-08-02,Paderborn 07,Holstein Kiel,2–1,2,1
2025-08-02,Karlsruher,Preußen Münster,3–2,3,2
2025-08-02,Arminia,Düsseldorf,5–1,5,1
2025-08-03,Greuther Fürth,Dresden,3–2,3,2
2025-08-03,Hannover 96,Kaiserslautern,1–0,1,0
2025-08-03,Magdeburg,BTSV,0–1,0,1
,,,,,
2025-08-08,Nürnberg,Darmstadt 98,0–1,0,1
2025-08-08,Preußen Münster,Paderborn 07,1–1,1,1
2025-08-09,Dresden,Magdeburg,1–2,1,2
2025-08-09,Düsseldorf,Hannover 96,0–2,0,2
2025-08-09,BTSV,Greuther Fürth,3–2,3,2
2025-08-09,Kaiserslautern,Schalke 04,1–0,1,0
2025-08-10,Holstein Kiel,Arminia,0–2,0,2
2025-08-10,Bochum,Elversberg,2–0,2,0
2025-08-10,Hertha BSC,Karlsruher,0–0,0,0
,,,,,
2025-08-22,Preußen Münster,Nürnberg,2–1,2,1
2025-08-22,Elversberg,Kaiserslautern,2–1,2,1
2025-08-23,Paderborn 07,Düsseldorf,1–2,1,2
2025-08-23,Hannover 96,Magdeburg,3–1,3,1
2025-08-23,Karlsruher,BTSV,2–0,2,0
2025-08-23,Schalke 04,Bochum,2–1,2,1
2025-08-24,Greuther Fürth,Holstein Kiel,0–2,0,2
2025-08-24,Arminia,Dresden,1–2,1,2
2025-08-24,Darmstadt 98,Hertha BSC,0–0,0,0
,,,,,
2025-08-29,Hertha BSC,Elversberg,0–2,0,2
2025-08-29,Nürnberg,Paderborn 07,0–0,0,0
2025-08-30,Holstein Kiel,Hannover 96,1–2,1,2
2025-08-30,BTSV,Arminia,1–1,1,1
2025-08-30,Bochum,Preußen Münster,1–2,1,2
2025-08-30,Düsseldorf,Karlsruher,0–0,0,0
2025-08-31,Magdeburg,Greuther Fürth,4–5,4,5
2025-08-31,Kaiserslautern,Darmstadt 98,3–1,3,1
2025-08-31,Dresden,Schalke 04,0–1,0,1
,,,,,
,Home,Away,Score,,
2025-09-12,Paderborn 07,Bochum,1–0,1,0
2025-09-12,Arminia,Magdeburg,2–0,2,0
2025-09-13,Schalke 04,Holstein Kiel,0–1,0,1
2025-09-13,Karlsruher,Nürnberg,2–1,2,1
2025-09-13,Darmstadt 98,BTSV,2–1,2,1
2025-09-13,Hannover 96,Hertha BSC,0–3,0,3
2025-09-14,Greuther Fürth,Kaiserslautern,0–3,0,3
2025-09-14,Preußen Münster,Düsseldorf,1–2,1,2
2025-09-14,Elversberg,Dresden,2–2,2,2
,,,,,
2025-09-19,Kaiserslautern,Preußen Münster,4–1,4,1
2025-09-19,Arminia,Greuther Fürth,1–3,1,3
2025-09-20,Hertha BSC,Paderborn 07,0–2,0,2
2025-09-20,BTSV,Elversberg,1–4,1,4
2025-09-20,Magdeburg,Schalke 04,0–2,0,2
2025-09-20,Nürnberg,Bochum,2–1,2,1
2025-09-21,Dresden,Hannover 96,2–2,2,2
2025-09-21,Holstein Kiel,Karlsruher,3–0,3,0
2025-09-21,Düsseldorf,Darmstadt 98,0–3,0,3
,,,,,
2025-09-26,Darmstadt 98,Dresden,2–0,2,0
2025-09-26,Schalke 04,Greuther Fürth,1–0,1,0
2025-09-27,Elversberg,Holstein Kiel,1–0,1,0
2025-09-27,Karlsruher,Magdeburg,1–0,1,0
2025-09-27,Paderborn 07,Kaiserslautern,2–0,2,0
2025-09-27,Bochum,Düsseldorf,0–1,0,1
2025-09-28,Hannover 96,Arminia,3–1,3,1
2025-09-28,Nürnberg,Hertha BSC,0–3,0,3
2025-09-28,Preußen Münster,BTSV,3–1,3,1
,,,,,
2025-10-03,BTSV,Paderborn 07,1–2,1,2
2025-10-03,Düsseldorf,Nürnberg,2–3,2,3
2025-10-04,Holstein Kiel,Darmstadt 98,1–1,1,1
2025-10-04,Kaiserslautern,Bochum,3–2,3,2
