Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Schalke 04,17,12,1,4,22,10,12,37,2.18,D W W W L,61653,Kenan Karaman - 6,Loris Karius,
2,Elversberg,17,10,4,3,31,15,16,34,2.0,W D W W D,9045,Younes Ebnoutalib - 12,Nicolas Kristof,
3,Darmstadt 98,17,9,6,2,29,17,12,33,1.94,W D W W D,17300,Isac Lidberg - 11,Marcel Schuhen,
4,Paderborn 07,17,10,3,4,28,18,10,33,1.94,L L L W D,14158,Filip Bilbija - 8,Dennis Seimen,
5,Hannover 96,17,8,5,4,30,22,8,29,1.71,W W D D L,44575,Benjamin Källman - 10,Nahuel Noll,
6,Hertha BSC,17,8,4,5,21,16,5,28,1.65,W W L D D,48451,Jan Luca Schuler - 5,Tjark Ernst,
7,Kaiserslautern,17,8,3,6,29,21,8,27,1.59,W L W D L,47205,"Ivan Prtajin, Naatan Skyttä - 8",Julian Krahl,
8,Nürnberg,17,6,4,7,19,23,-4,22,1.29,W L D L W,34982,Rafael Lubach - 5,Jan Reichert,
9,Karlsruher,17,6,4,7,25,33,-8,22,1.29,L L L L D,30691,Fabian Schleusener - 7,Hans Christian Bernat,
10,Bochum,17,6,3,8,23,22,1,21,1.24,L W W D D,25555,Francis Onyeka - 6,Timo Horn,
11,Holstein Kiel,17,5,5,7,20,22,-2,20,1.18,L L D D W,14553,David Zec - 4,Jonas Krumrey,
12,Preußen Münster,17,5,5,7,22,26,-4,20,1.18,D W D L D,10429,Oliver Batista-Meier - 5,Johannes Schenk,
13,BTSV,17,6,2,9,20,29,-9,20,1.18,L W D W W,21057,"Christian Conteh, Mehmet Aydin... - 4",Ron-Thorben Hoffmann,
14,Arminia,17,5,4,8,27,24,3,19,1.12,L L L D D,26038,Joel Grodowski - 7,Jonas Thomas Kersken,
15,Magdeburg,17,5,2,10,21,29,-8,17,1.0,L W W D W,24959,Mateusz Żukowski - 4,Dominik Reimann,
16,Düsseldorf,17,5,2,10,15,27,-12,17,1.0,W L L L W,40910,Cedric Itten - 6,Florian Kastenmeier,
17,Greuther Fürth,17,4,3,10,26,44,-18,15,0.88,L L D D L,12359,Noel Futkeu - 9,Pelle Boevink,
18,Dresden,17,3,4,10,24,34,-10,13,0.76,W W L L L,31262,Christoph Daferner - 5,Tim Schreiber,
