Unnamed: 0_level_0_Squad,Unnamed: 1_level_0_# Pl,Unnamed: 2_level_0_90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG
Adelaide,29,27.0,49,3,1,296,228,50,564,301,315,,,0
Brisbane,29,27.0,52,3,1,272,252,62,542,255,272,,,0
Central Coast,23,27.0,52,5,1,267,347,36,369,317,318,,,1
Macarthur FC,29,27.0,64,3,0,267,335,37,517,263,254,,,1
Melb City,25,27.0,52,1,0,343,219,47,578,263,268,,,2
Melb Victory,25,27.0,57,5,3,311,290,42,544,293,318,,,2
Newcastle,22,27.0,41,1,1,253,306,45,536,241,273,,,0
Perth Glory,29,27.0,57,3,3,280,199,53,533,278,243,,,3
Sydney FC,23,27.0,47,5,0,335,243,51,504,282,336,,,2
W Sydney,31,27.0,45,5,1,291,307,54,486,281,281,,,0
Wellington,23,27.0,49,2,0,247,270,52,394,259,261,,,1
Western United,30,27.0,56,2,0,302,284,45,492,326,242,,,1
