Rk,球队,场次,W,D,L,进球,失球,净胜球,积分,Pts/MP,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Central Coast,27,17,4,6,49,27,22,55,2.04,8990,Ángel Torres - 13,Danny Vukovic,
2,Wellington,27,15,8,4,42,26,16,53,1.96,10680,Kosta Barbarouses - 13,Alex Paulsen,
3,Melb Victory,27,10,12,5,43,33,10,42,1.56,12313,Bruno Fornaroli - 18,Paul Izzo,
4,Sydney FC,27,12,5,10,52,41,11,41,1.52,14253,"Joe Lolley, Fábio - 11",Andrew Redmayne,
5,Macarthur FC,27,11,8,8,45,48,-3,41,1.52,4161,Valère Germain - 12,Filip Kurto,
6,Melb City,27,11,6,10,50,38,12,39,1.44,8390,Tolgay Arslan - 13,Jamie Young,
7,W Sydney,27,11,4,12,44,48,-4,37,1.37,10573,"Nicolas Milanovic, Lachlan Brook - 9",Lawrence Thomas,
8,Adelaide,27,9,5,13,52,53,-1,32,1.19,10148,Hiroshi Ibusuki - 15,James Delianov,
9,Brisbane,27,8,6,13,42,55,-13,30,1.11,6510,"Jay O'Shea, Henry Hore... - 7",Macklin Freke,
10,Newcastle,27,6,10,11,39,47,-8,28,1.04,5704,Apostolos Stamatelopoulos - 17,Ryan Scott,
11,Western United,27,7,5,15,36,55,-19,26,0.96,3274,Daniel Penha - 7,Tom Heward-Belle,
12,Perth Glory,27,5,7,15,46,69,-23,22,0.81,5655,Adam Taggart - 20,Oliver Sail,
