Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Squad,Home_MP,Home_W,Home_D,Home_L,Home_GF,Home_GA,Home_GD,Home_Pts,Home_Pts/MP,Away_MP,Away_W,Away_D,Away_L,Away_GF,Away_GA,Away_GD,Away_Pts,Away_Pts/MP
1,Auckland FC,13,8,4,1,26,14,12,28,2.15,13,7,4,2,23,13,10,25,1.92
2,Melb City,13,8,2,3,20,11,9,26,2.0,13,6,4,3,21,14,7,22,1.69
3,Western United,13,7,3,3,23,14,9,24,1.85,13,7,2,4,32,23,9,23,1.77
4,W Sydney,13,6,2,5,31,23,8,20,1.54,13,7,5,1,27,17,10,26,2.0
5,Melb Victory,13,7,4,2,26,16,10,25,1.92,13,5,3,5,18,20,-2,18,1.38
6,Adelaide,13,4,5,4,27,27,0,17,1.31,13,6,3,4,26,28,-2,21,1.62
7,Sydney FC,13,6,3,4,36,25,11,21,1.62,13,4,4,5,17,21,-4,16,1.23
8,Macarthur FC,13,2,4,7,22,25,-3,10,0.77,13,7,2,4,28,20,8,23,1.77
9,Newcastle,13,3,3,7,22,22,0,12,0.92,13,5,3,5,21,22,-1,18,1.38
10,Central Coast,13,2,5,6,13,27,-14,11,0.85,13,3,6,4,16,24,-8,15,1.15
11,Wellington,13,2,5,6,11,17,-6,11,0.85,13,4,1,8,16,26,-10,13,1.0
12,Brisbane,13,2,2,9,12,26,-14,8,0.62,13,3,4,6,20,25,-5,13,1.0
13,Perth Glory,13,2,2,9,11,29,-18,8,0.62,13,2,3,8,11,27,-16,9,0.69
