Unnamed: 0_level_0_Squad,Unnamed: 1_level_0_# Pl,Unnamed: 2_level_0_Age,Unnamed: 3_level_0_Poss,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK
Adelaide,27,25.2,53.1,26,286,2340,26.0,50,31,81,46,4,4,27,1,1.92,1.19,3.12,1.77,2.96
Auckland FC,23,27.1,47.8,26,286,2340,26.0,47,31,78,47,0,0,40,2,1.81,1.19,3.0,1.81,3.0
Brisbane,31,26.6,49.2,26,286,2340,26.0,29,23,52,27,2,2,56,1,1.12,0.88,2.0,1.04,1.92
Central Coast,27,23.8,46.3,26,286,2340,26.0,26,19,45,25,1,1,48,1,1.0,0.73,1.73,0.96,1.69
Macarthur FC,28,28.0,50.9,26,286,2340,26.0,49,37,86,49,0,2,48,1,1.88,1.42,3.31,1.88,3.31
Melb City,26,25.4,55.7,26,286,2340,26.0,40,27,67,37,3,3,51,1,1.54,1.04,2.58,1.42,2.46
Melb Victory,22,27.1,53.5,26,286,2340,26.0,44,34,78,40,4,5,37,2,1.69,1.31,3.0,1.54,2.85
Newcastle,24,24.1,50.7,26,286,2340,26.0,39,31,70,37,2,3,34,0,1.5,1.19,2.69,1.42,2.62
Perth Glory,36,26.3,40.0,26,286,2340,26.0,22,19,41,21,1,1,42,0,0.85,0.73,1.58,0.81,1.54
Sydney FC,27,26.6,58.1,26,286,2340,26.0,53,37,90,51,2,2,52,3,2.04,1.42,3.46,1.96,3.38
W Sydney,29,26.2,50.4,26,286,2340,26.0,54,40,94,51,3,3,40,1,2.08,1.54,3.62,1.96,3.5
Wellington,27,26.3,45.8,26,286,2340,26.0,27,22,49,26,1,1,36,0,1.04,0.85,1.88,1.0,1.85
Western United,23,24.4,49.3,26,286,2340,26.0,53,37,90,50,3,3,44,2,2.04,1.42,3.46,1.92,3.35
