Rk,球队,场次,W,D,L,进球,失球,净胜球,积分,Pts/MP,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Auckland FC,26,15,8,3,49,27,22,53,2.04,18890,"Neyder Moreno, Guillermo May - 9",Alex Paulsen,
2,Melb City,26,14,6,6,41,25,16,48,1.85,7872,"Marco Tilio, Max Caputo... - 5",Patrick Beach,
3,Western United,26,14,5,7,55,37,18,47,1.81,3709,Noah Botić - 12,Matthew Sutton,
4,W Sydney,26,13,7,6,58,40,18,46,1.77,10280,Nicolas Milanovic - 12,Lawrence Thomas,
5,Melb Victory,26,12,7,7,44,36,8,43,1.65,12874,"Nikos Vergos, Nishan Velupillay - 7",Jack Duncan,
6,Adelaide,26,10,8,8,53,55,-2,38,1.46,11365,Archie Goodwin - 13,James Delianov,
7,Sydney FC,26,10,7,9,53,46,7,37,1.42,15282,Adrian Segecic - 13,Harrison Devenish-Meares,
8,Macarthur FC,26,9,6,11,50,45,5,33,1.27,4674,Marin Jakoliš - 10,Filip Kurto,
9,Newcastle,26,8,6,12,43,44,-1,30,1.15,6496,Eli Adams - 9,Ryan Scott,
10,Central Coast,26,5,11,10,29,51,-22,26,1.0,6392,Alou Kuol - 4,Dylan Peraic-Cullen,
11,Wellington,26,6,6,14,27,43,-16,24,0.92,7990,Kosta Barbarouses - 10,Josh Oluwayemi,
12,Brisbane,26,5,6,15,32,51,-19,21,0.81,6216,Samuel Klein - 5,Macklin Freke,
13,Perth Glory,26,4,5,17,22,56,-34,17,0.65,6092,Adam Taggart - 10,Oliver Sail,
