Date,Home,Away,Score,HomeGoals,AwayGoals
2025-10-17,Adelaide,Sydney FC,2–1,2,1
2025-10-17,Brisbane,Macarthur FC,1–0,1,0
2025-10-18,W Sydney,Melb City,1–1,1,1
2025-10-18,Perth Glory,Wellington,2–2,2,2
2025-10-18,Melb Victory,Auckland FC,0–0,0,0
2025-10-19,Central Coast,Newcastle,3–2,3,2
,,,,,
2025-10-24,Newcastle,Melb Victory,5–2,5,2
2025-10-25,Auckland FC,W Sydney,1–0,1,0
2025-10-25,Melb City,Perth Glory,4–0,4,0
2025-10-25,Sydney FC,Central Coast,2–0,2,0
2025-10-26,Wellington,Brisbane,2–1,2,1
2025-10-27,Macarthur FC,Adelaide,2–1,2,1
,,,,,
2025-10-31,Brisbane,Melb City,0–0,0,0
2025-10-31,Perth Glory,Melb Victory,0–2,0,2
2025-11-01,Auckland FC,Adelaide,2–1,2,1
2025-11-01,Newcastle,Sydney FC,1–4,1,4
2025-11-01,Macarthur FC,W Sydney,1–1,1,1
2025-11-02,Central Coast,Wellington,1–1,1,1
,,,,,
2025-11-07,Perth Glory,Central Coast,0–1,0,1
2025-11-07,Adelaide,W Sydney,2–0,2,0
2025-11-08,Wellington,Auckland FC,1–2,1,2
2025-11-08,Melb Victory,Melb City,0–2,0,2
2025-11-09,Sydney FC,Macarthur FC,2–0,2,0
2025-11-09,Brisbane,Newcastle,3–0,3,0
,,,,,
2025-11-21,Adelaide,Melb City,4–1,4,1
2025-11-22,W Sydney,Central Coast,3–2,3,2
2025-11-22,Wellington,Macarthur FC,0–1,0,1
2025-11-22,Sydney FC,Melb Victory,3–0,3,0
2025-11-23,Auckland FC,Brisbane,1–1,1,1
2025-11-23,Newcastle,Perth Glory,1–2,1,2
,,,,,
2025-11-28,Brisbane,Melb Victory,1–0,1,0
2025-11-29,Central Coast,Melb City,0–0,0,0
2025-11-29,Wellington,Adelaide,2–1,2,1
2025-11-29,W Sydney,Sydney FC,1–0,1,0
2025-11-30,Auckland FC,Newcastle,1–2,1,2
,Home,Away,Score,,
2025-11-30,Macarthur FC,Perth Glory,0–2,0,2
,,,,,
2025-12-05,Perth Glory,W Sydney,1–0,1,0
2025-12-05,Macarthur FC,Melb Victory,0–0,0,0
2025-12-06,Auckland FC,Wellington,3–1,3,1
2025-12-06,Newcastle,Melb City,0–1,0,1
2025-12-06,Central Coast,Sydney FC,1–2,1,2
2025-12-07,Adelaide,Brisbane,0–1,0,1
,,,,,
2025-12-12,Central Coast,Auckland FC,1–2,1,2
2025-12-13,W Sydney,Brisbane,0–0,0,0
2025-12-13,Perth Glory,Sydney FC,0–1,0,1
2025-12-13,Melb Victory,Adelaide,2–1,2,1
2025-12-14,Wellington,Newcastle,1–3,1,3
,,,,,
2025-12-19,Macarthur FC,Brisbane,2–1,2,1
2025-12-19,W Sydney,Auckland FC,0–2,0,2
2025-12-20,Newcastle,Sydney FC,2–0,2,0
2025-12-20,Perth Glory,Adelaide,0–1,0,1
2025-12-20,Melb City,Melb Victory,0–1,0,1
2025-12-21,Wellington,Central Coast,3–1,3,1
,,,,,
2025-12-23,Melb City,Macarthur FC,1–1,1,1
,,,,,
2025-12-26,Newcastle,Macarthur FC,4–5,4,5
2025-12-27,Adelaide,W Sydney,3–2,3,2
2025-12-28,Melb City,Perth Glory,1–3,1,3
2025-12-29,Melb Victory,Wellington,5–1,5,1
2025-12-31,Central Coast,Brisbane,1–2,1,2
,,,,,
2026-01-01,Auckland FC,Newcastle,1–3,1,3
2026-01-01,W Sydney,Macarthur FC,0–1,0,1
2026-01-02,Melb Victory,Perth Glory,3–2,3,2
2026-01-03,Brisbane,Wellington,0–3,0,3
2026-01-03,Melb City,Sydney FC,0–0,0,0
2026-01-04,Adelaide,Central Coast,0–4,0,4
,,,,,
2026-01-05,Macarthur FC,Auckland FC,1–1,1,1
,,,,,
2026-01-06,Melb City,Brisbane,1–0,1,0
,Home,Away,Score,,
,,,,,
2026-01-09,Brisbane,Auckland FC,0–2,0,2
2026-01-10,Melb Victory,W Sydney,0–1,0,1
2026-01-10,Perth Glory,Central Coast,3–0,3,0
2026-01-10,Macarthur FC,Sydney FC,0–3,0,3
2026-01-11,Wellington,Adelaide,2–2,2,2
2026-01-11,Melb City,Newcastle,0–1,0,1
,,,,,
2026-01-16,Perth Glory,Brisbane,,,
2026-01-16,Melb City,Auckland FC,,,
2026-01-17,W Sydney,Newcastle,,,
2026-01-17,Central Coast,Macarthur FC,,,
2026-01-17,Adelaide,Melb Victory,,,
2026-01-18,Sydney FC,Wellington,,,
,,,,,
2026-01-23,Newcastle,Wellington,,,
2026-01-24,Brisbane,Adelaide,,,
2026-01-24,Auckland FC,Central Coast,,,
2026-01-24,Macarthur FC,Melb City,,,
2026-01-25,W Sydney,Perth Glory,,,
2026-01-26,Melb Victory,Sydney FC,,,
,,,,,
2026-01-30,Wellington,Melb City,,,
2026-01-30,Adelaide,Macarthur FC,,,
2026-01-31,Newcastle,Brisbane,,,
2026-01-31,Perth Glory,Auckland FC,,,
2026-01-31,Sydney FC,W Sydney,,,
2026-02-01,Central Coast,Melb Victory,,,
,,,,,
2026-02-06,Wellington,Melb Victory,,,
2026-02-06,Macarthur FC,Perth Glory,,,
2026-02-07,Brisbane,Central Coast,,,
2026-02-07,Auckland FC,Sydney FC,,,
2026-02-07,W Sydney,Melb City,,,
2026-02-08,Adelaide,Newcastle,,,
,,,,,
2026-02-13,Perth Glory,Newcastle,,,
2026-02-13,W Sydney,Wellington,,,
2026-02-14,Melb Victory,Brisbane,,,
2026-02-14,Sydney FC,Adelaide,,,
,Home,Away,Score,,
,,,,,
2026-02-17,Sydney FC,Auckland FC,,,
,,,,,
2026-02-20,Adelaide,Perth Glory,,,
2026-02-21,Wellington,Auckland FC,,,
2026-02-21,Sydney FC,Brisbane,,,
2026-02-21,Melb City,Melb Victory,,,
2026-02-22,Central Coast,W Sydney,,,
2026-02-22,Newcastle,Macarthur FC,,,
,,,,,
2026-02-25,Macarthur FC,Central Coast,,,
,,,,,
2026-02-27,Melb Victory,Adelaide,,,
2026-02-28,Auckland FC,Melb City,,,
2026-02-28,Central Coast,Newcastle,,,
2026-02-28,Brisbane,Perth Glory,,,
2026-02-28,Macarthur FC,W Sydney,,,
2026-03-01,Wellington,Sydney FC,,,
,,,,,
2026-03-06,Adelaide,Wellington,,,
2026-03-07,Newcastle,W Sydney,,,
2026-03-07,Sydney FC,Melb Victory,,,
2026-03-08,Auckland FC,Perth Glory,,,
,,,,,
2026-03-13,Brisbane,W Sydney,,,
2026-03-14,Wellington,Perth Glory,,,
2026-03-14,Central Coast,Adelaide,,,
2026-03-14,Newcastle,Auckland FC,,,
2026-03-15,Melb Victory,Macarthur FC,,,
2026-03-17,Sydney FC,Melb City,,,
,,,,,
2026-03-20,W Sydney,Adelaide,,,
2026-03-21,Brisbane,Wellington,,,
2026-03-21,Auckland FC,Macarthur FC,,,
2026-03-21,Melb Victory,Central Coast,,,
2026-03-22,Sydney FC,Newcastle,,,
2026-03-22,Perth Glory,Melb City,,,
,,,,,
2026-04-02,Macarthur FC,Newcastle,,,
2026-04-02,Brisbane,Sydney FC,,,
,Home,Away,Score,,
2026-04-03,Adelaide,Auckland FC,,,
2026-04-04,Central Coast,Perth Glory,,,
2026-04-04,Melb City,W Sydney,,,
2026-04-05,Melb Victory,Wellington,,,
,,,,,
2026-04-07,Melb City,Central Coast,,,
,,,,,
2026-04-10,Central Coast,Brisbane,,,
2026-04-11,Auckland FC,Melb Victory,,,
2026-04-11,Newcastle,Adelaide,,,
2026-04-11,W Sydney,Sydney FC,,,
2026-04-12,Melb City,Wellington,,,
2026-04-12,Perth Glory,Macarthur FC,,,
,,,,,
2026-04-17,Melb Victory,Newcastle,,,
2026-04-18,Wellington,W Sydney,,,
2026-04-18,Brisbane,Melb City,,,
2026-04-18,Sydney FC,Perth Glory,,,
2026-04-19,Adelaide,Macarthur FC,,,
2026-04-19,Auckland FC,Central Coast,,,
,,,,,
2026-04-24,Macarthur FC,Wellington,,,
2026-04-25,Newcastle,Central Coast,,,
2026-04-25,W Sydney,Melb Victory,,,
2026-04-25,Perth Glory,Brisbane,,,
2026-04-26,Sydney FC,Auckland FC,,,
2026-04-26,Melb City,Adelaide,,,
