Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Auckland FC,12,7,3,2,18,11,7,24,2.0,W W L D W,14563.0,"Sam Cosgrove, Lachlan Brook - 5",Michael Woud,
2,Sydney FC,11,7,1,3,18,7,11,22,2.0,W W L D W,10811.0,"Joe Lolley, Al Hassan Toure - 4",Harrison Devenish-Meares,
3,Macarthur FC,13,5,4,4,14,17,-3,19,1.46,D W W D L,4154.0,Harry Sawyer - 5,Filip Kurto,
4,Newcastle,12,6,0,6,24,23,1,18,1.5,W W L W W,5692.0,Lachlan Rose - 6,James Delianov,
5,Brisbane,13,5,3,5,11,12,-1,18,1.38,L W L L L,7508.0,Justin Vidic - 3,Dean Bouzanis,
6,Melb City,13,4,5,4,12,11,1,17,1.31,D L D W L,7009.0,Max Caputo - 5,Patrick Beach,
7,Melb Victory,12,5,2,5,15,16,-1,17,1.42,W W W W L,12131.0,Nikos Vergos - 5,Jack Duncan,
8,Adelaide,12,5,1,6,18,19,-1,16,1.33,L W W L D,11412.0,Luka Jovanovic - 4,Joshua Smits,
9,Perth Glory,12,5,1,6,15,16,-1,16,1.33,L L W L W,6560.0,Tom Lawrence - 5,Matthew Sutton,
10,Wellington,12,4,3,5,19,22,-3,15,1.25,L W L W D,5058.0,Ifeanyi Eze - 5,Josh Oluwayemi,
11,W Sydney,12,3,3,6,9,14,-5,12,1.0,D L L L W,9125.0,Kosta Barbarouses - 4,Lawrence Thomas,
12,Central Coast,12,3,2,7,15,20,-5,11,0.92,L L L W L,5495.0,Alfie McCalmont - 3,Andrew Redmayne,
13,Western United,0,0,0,0,0,0,0,0,,,,,,
