Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Squad,Home_MP,Home_W,Home_D,Home_L,Home_GF,Home_GA,Home_GD,Home_Pts,Home_Pts/MP,Away_MP,Away_W,Away_D,Away_L,Away_GF,Away_GA,Away_GD,Away_Pts,Away_Pts/MP
1,Mjällby,15,11,4,0,25,8,17,37,2.47,15,12,2,1,32,10,22,38,2.53
2,Hammarby,15,12,1,2,34,10,24,37,2.47,15,7,4,4,26,19,7,25,1.67
3,GAIS,15,8,4,3,22,14,8,28,1.87,15,6,6,3,23,16,7,24,1.6
4,Göteborg,15,7,1,7,19,16,3,22,1.47,15,9,2,4,22,17,5,29,1.93
5,Djurgården,15,6,7,2,30,16,14,25,1.67,15,7,3,5,22,16,6,24,1.6
6,Malmö,15,7,4,4,23,16,7,25,1.67,15,6,6,3,23,17,6,24,1.6
7,AIK Stockholm,15,7,6,2,23,14,9,27,1.8,15,6,3,6,17,19,-2,21,1.4
8,Elfsborg,15,7,3,5,33,27,6,24,1.6,15,5,1,9,12,24,-12,16,1.07
9,Sirius,15,7,2,6,28,18,10,23,1.53,15,4,4,7,25,33,-8,16,1.07
10,Häcken,15,4,4,7,23,29,-6,16,1.07,15,5,4,6,19,21,-2,19,1.27
11,Halmstad,15,5,3,7,13,26,-13,18,1.2,15,5,2,8,11,24,-13,17,1.13
12,Brommapojkarna,15,4,0,11,21,30,-9,12,0.8,15,5,4,6,19,17,2,19,1.27
13,Degerfors,15,1,5,9,7,22,-15,8,0.53,15,7,1,7,26,30,-4,22,1.47
14,Norrköping,15,5,1,9,20,28,-8,16,1.07,15,3,4,8,20,29,-9,13,0.87
15,Öster,15,3,3,9,16,24,-8,12,0.8,15,3,5,7,13,24,-11,14,0.93
16,Värnamo,15,2,5,8,17,31,-14,11,0.73,15,1,2,12,19,38,-19,5,0.33
