Unnamed: 0_level_0_Squad,Unnamed: 1_level_0_# Pl,Unnamed: 2_level_0_90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG
AIK Stockholm,30,30.0,65,2,2,385,320,67,585,302,356,,,3
Brommapojkarna,32,30.0,60,0,0,380,386,43,546,278,347,,,3
Degerfors,32,30.0,64,2,1,395,344,43,625,254,374,,,3
Djurgården,31,30.0,64,2,1,378,424,43,575,280,364,,,2
Elfsborg,27,30.0,59,1,0,421,351,50,708,267,319,,,1
GAIS,27,30.0,59,1,0,421,327,46,581,264,335,,,0
Göteborg,25,30.0,56,2,1,370,408,36,763,254,352,,,2
Häcken,35,30.0,65,3,0,341,378,39,593,268,362,,,1
Halmstad,28,30.0,58,2,1,414,300,19,403,243,341,,,2
Hammarby,27,30.0,39,0,0,329,418,45,545,247,373,,,0
Malmö,30,30.0,50,1,0,358,364,35,571,222,352,,,2
Mjällby,29,30.0,47,1,0,364,373,33,489,256,337,,,0
Norrköping,25,30.0,68,2,2,356,445,30,516,252,323,,,1
Öster,28,30.0,71,2,0,407,317,42,599,273,331,,,1
Sirius,28,30.0,42,0,0,356,372,50,594,241,338,,,0
Värnamo,32,30.0,49,3,1,358,331,35,573,272,325,,,3
