Unnamed: 0_level_0_Squad,Unnamed: 1_level_0_# Pl,Unnamed: 2_level_0_Age,Unnamed: 3_level_0_Poss,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK
AIK Stockholm,30,27.5,46.5,30,330,2700,30.0,39,27,66,38,1,2,65,2,1.3,0.9,2.2,1.27,2.17
Brommapojkarna,32,24.8,43.5,30,330,2700,30.0,40,33,73,38,2,3,60,0,1.33,1.1,2.43,1.27,2.37
Degerfors,32,26.1,43.6,30,330,2700,30.0,32,18,50,28,4,6,64,2,1.07,0.6,1.67,0.93,1.53
Djurgården,31,26.2,53.8,30,330,2700,30.0,50,41,91,48,2,2,64,2,1.67,1.37,3.03,1.6,2.97
Elfsborg,27,25.9,48.8,30,330,2700,30.0,44,31,75,42,2,3,59,1,1.47,1.03,2.5,1.4,2.43
GAIS,27,25.6,51.9,30,330,2700,30.0,43,30,73,40,3,4,59,1,1.43,1.0,2.43,1.33,2.33
Göteborg,25,24.6,52.0,30,330,2700,30.0,40,29,69,37,3,4,56,2,1.33,0.97,2.3,1.23,2.2
Häcken,35,26.0,57.3,30,330,2700,30.0,41,29,70,38,3,5,65,3,1.37,0.97,2.33,1.27,2.23
Halmstad,28,26.3,40.3,30,330,2700,30.0,21,14,35,19,2,3,58,2,0.7,0.47,1.17,0.63,1.1
Hammarby,27,25.3,62.1,30,330,2700,30.0,58,38,96,55,3,4,39,0,1.93,1.27,3.2,1.83,3.1
Malmö,30,26.3,57.7,30,330,2700,30.0,44,33,77,41,3,5,50,1,1.47,1.1,2.57,1.37,2.47
Mjällby,29,25.5,54.9,30,330,2700,30.0,57,40,97,54,3,4,47,1,1.9,1.33,3.23,1.8,3.13
Norrköping,25,25.2,45.7,30,330,2700,30.0,39,27,66,37,2,2,68,2,1.3,0.9,2.2,1.23,2.13
Öster,28,25.5,46.1,30,330,2700,30.0,27,21,48,26,1,1,71,2,0.9,0.7,1.6,0.87,1.57
Sirius,28,24.3,50.1,30,330,2700,30.0,50,34,84,45,5,5,42,0,1.67,1.13,2.8,1.5,2.63
Värnamo,32,25.6,46.5,30,330,2700,30.0,34,27,61,33,1,1,49,3,1.13,0.9,2.03,1.1,2.0
