Rk,球队,场次,W,D,L,进球,失球,净胜球,积分,Pts/MP,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Mjällby,30,23,6,1,57,18,39,75,2.5,5099,Elliot Stroud - 10,Noel Törnqvist,→ Champions League via league finish
2,Hammarby,30,19,5,6,60,29,31,62,2.07,24297,Nahir Besara - 17,Warner Hahn,→ Conference League via league finish
3,GAIS,30,14,10,6,45,30,15,52,1.73,10432,Ibrahim Diabaté - 18,Mergim Krasniqi,→ Conference League via league finish
4,Göteborg,30,16,3,11,41,33,8,51,1.7,16615,Max Fenger - 12,Elis Bishesari,
5,Djurgården,30,13,10,7,52,32,20,49,1.63,19400,August Priske - 18,Filip Manojlović,
6,Malmö,30,13,10,7,46,33,13,49,1.63,18706,"Daníel Gudjohnsen, Hugo Bolin - 5",Robin Olsen,
7,AIK Stockholm,30,13,9,8,40,33,7,48,1.6,30024,Johan Hove - 8,Kristoffer Nordfeldt,
8,Elfsborg,30,12,4,14,45,51,-6,40,1.33,8852,Frederik Ihler - 7,Simon Eriksson,
9,Sirius,30,11,6,13,53,51,2,39,1.3,6743,Leo Walta - 16,"Ismael Diawara, David Celic",
10,Häcken,30,9,8,13,42,50,-8,35,1.17,4806,"Amor Layouni, Adrian Svanbäck - 5",Etrit Berisha,
11,Halmstad,30,10,5,15,24,50,-26,35,1.17,5706,"William Granath, Yannick Agnero - 5",Tim Erlandsson,
12,Brommapojkarna,30,9,4,17,40,47,-7,31,1.03,2242,Victor Lind - 10,Davor Blažević,
13,Degerfors,30,8,6,16,33,52,-19,30,1.0,4455,Marcus Rafferty - 7,Matvei Igonen,
14,Norrköping,30,8,5,17,40,57,-17,29,0.97,8259,Christoffer Nyman - 11,David Andersson,→ Swedish 1/2 Relegation/Promotion play-offs (M)
15,Öster,30,6,8,16,29,48,-19,26,0.87,7236,Alibek Aliev - 7,Robin Wallinder,Relegated
16,Värnamo,30,3,7,20,36,69,-33,16,0.53,2896,Ajdin Zeljkovic - 7,Hugo Keto,Relegated
