Round,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes
Bundesliga,1,Fri,2023-08-18,20:30 (02:30),Werder Bremen,0.6,0–4,2.8,Bayern Munich,42100,Wohninvest Weserstadion,Felix Zwayer,Match Report,
Bundesliga,1,Sat,2023-08-19,15:30 (21:30),Stuttgart,3.0,5–0,0.8,Bochum,53000,MHPArena,Daniel Siebert,Match Report,
Bundesliga,1,Sat,2023-08-19,15:30 (21:30),Hoffenheim,1.4,1–2,2.6,Freiburg,25890,PreZero Arena,Sven Jablonski,Match Report,
Bundesliga,1,Sat,2023-08-19,15:30 (21:30),Augsburg,2.3,4–4,1.7,Gladbach,30660,WWK Arena,Daniel Schlager,Match Report,
Bundesliga,1,Sat,2023-08-19,15:30 (21:30),Leverkusen,1.4,3–2,1.6,RB Leipzig,29464,BayArena,Felix Brych,Match Report,
Bundesliga,1,Sat,2023-08-19,15:30 (21:30),Wolfsburg,2.2,2–0,1.2,Heidenheim,22620,Volkswagen Arena,Florian Badstübner,Match Report,
Bundesliga,1,Sat,2023-08-19,18:30 (00:30),Dortmund,1.8,1–0,1.2,Köln,81365,Signal Iduna Park,Deniz Aytekin,Match Report,
Bundesliga,1,Sun,2023-08-20,15:30 (21:30),Union Berlin,1.9,4–1,2.3,Mainz 05,22012,Stadion An der Alten Försterei,Tobias Stieler,Match Report,
Bundesliga,1,Sun,2023-08-20,17:30 (23:30),Eint Frankfurt,1.5,1–0,0.5,Darmstadt 98,54000,Deutsche Bank Park,Harm Osmers,Match Report,
,,,,,,,,,,,,,,
Bundesliga,2,Fri,2023-08-25,20:30 (02:30),RB Leipzig,1.8,5–1,1.1,Stuttgart,46084,Red Bull Arena,Frank Willenborg,Match Report,
Bundesliga,2,Sat,2023-08-26,15:30 (21:30),Freiburg,2.4,1–0,1.0,Werder Bremen,34700,Europa-Park Stadion,Benjamin Brand,Match Report,
Bundesliga,2,Sat,2023-08-26,15:30 (21:30),Köln,0.9,1–2,1.7,Wolfsburg,49500,RheinEnergieSTADION,Matthias Jöllenbeck,Match Report,
Bundesliga,2,Sat,2023-08-26,15:30 (21:30),Darmstadt 98,2.3,1–4,1.7,Union Berlin,17810,Merck-Stadion am Böllenfalltor,Patrick Ittrich,Match Report,
Bundesliga,2,Sat,2023-08-26,15:30 (21:30),Bochum,1.0,1–1,1.3,Dortmund,26000,Vonovia Ruhrstadion,Robert Schröder,Match Report,
Bundesliga,2,Sat,2023-08-26,15:30 (21:30),Heidenheim,2.4,2–3,3.0,Hoffenheim,15000,Voith-Arena,Robert Hartmann,Match Report,
Bundesliga,2,Sat,2023-08-26,18:30 (00:30),Gladbach,0.9,0–3,2.7,Leverkusen,54042,Stadion im Borussia-Park,Christian Dingert,Match Report,
Bundesliga,2,Sun,2023-08-27,15:30 (21:30),Mainz 05,1.2,1–1,1.1,Eint Frankfurt,33305,Mewa Arena,Bastian Dankert,Match Report,
Bundesliga,2,Sun,2023-08-27,17:30 (23:30),Bayern Munich,2.8,3–1,0.7,Augsburg,75000,Allianz Arena,Daniel Siebert,Match Report,
,,,,,,,,,,,,,,
Bundesliga,3,Fri,2023-09-01,20:30 (02:30),Dortmund,3.4,2–2,2.1,Heidenheim,81365,Signal Iduna Park,Tobias Reichel,Match Report,
Bundesliga,3,Sat,2023-09-02,15:30 (21:30),Werder Bremen,2.7,4–0,0.5,Mainz 05,41000,Wohninvest Weserstadion,Robert Schröder,Match Report,
Bundesliga,3,Sat,2023-09-02,15:30 (21:30),Hoffenheim,2.0,3–1,1.2,Wolfsburg,17500,PreZero Arena,Felix Zwayer,Match Report,
Bundesliga,3,Sat,2023-09-02,15:30 (21:30),Augsburg,1.9,2–2,1.6,Bochum,27424,WWK Arena,Martin Petersen,Match Report,
Bundesliga,3,Sat,2023-09-02,15:30 (21:30),Leverkusen,2.8,5–1,0.4,Darmstadt 98,29653,BayArena,Sven Jablonski,Match Report,
Bundesliga,3,Sat,2023-09-02,15:30 (21:30),Stuttgart,1.7,5–0,1.0,Freiburg,54300,MHPArena,Felix Brych,Match Report,
Bundesliga,3,Sat,2023-09-02,18:30 (00:30),Gladbach,0.3,1–2,2.4,Bayern Munich,54042,Stadion im Borussia-Park,Deniz Aytekin,Match Report,
Bundesliga,3,Sun,2023-09-03,15:30 (21:30),Eint Frankfurt,1.1,1–1,0.9,Köln,54000,Deutsche Bank Park,Florian Badstübner,Match Report,
Bundesliga,3,Sun,2023-09-03,17:30 (23:30),Union Berlin,0.3,0–3,1.2,RB Leipzig,22012,Stadion An der Alten Försterei,Daniel Schlager,Match Report,
,,,,,,,,,,,,,,
Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Bundesliga,4,Fri,2023-09-15,20:30 (02:30),Bayern Munich,2.1,2–2,2.1,Leverkusen,75000,Allianz Arena,Daniel Schlager,Match Report,
Bundesliga,4,Sat,2023-09-16,15:30 (21:30),Freiburg,1.0,2–4,2.3,Dortmund,34700,Europa-Park Stadion,Tobias Stieler,Match Report,
Bundesliga,4,Sat,2023-09-16,15:30 (21:30),Wolfsburg,0.4,2–1,1.1,Union Berlin,21917,Volkswagen Arena,Felix Brych,Match Report,
Bundesliga,4,Sat,2023-09-16,15:30 (21:30),Köln,1.0,1–3,1.0,Hoffenheim,49300,RheinEnergieSTADION,Daniel Siebert,Match Report,
Bundesliga,4,Sat,2023-09-16,15:30 (21:30),Mainz 05,0.9,1–3,1.6,Stuttgart,30500,Mewa Arena,Harm Osmers,Match Report,
Bundesliga,4,Sat,2023-09-16,15:30 (21:30),RB Leipzig,1.1,3–0,1.7,Augsburg,44746,Red Bull Arena,Sascha Stegemann,Match Report,
Bundesliga,4,Sat,2023-09-16,18:30 (00:30),Bochum,2.0,1–1,0.6,Eint Frankfurt,26000,Vonovia Ruhrstadion,Benjamin Brand,Match Report,
Bundesliga,4,Sun,2023-09-17,15:30 (21:30),Heidenheim,2.2,4–2,3.0,Werder Bremen,15000,Voith-Arena,Patrick Ittrich,Match Report,
Bundesliga,4,Sun,2023-09-17,17:30 (23:30),Darmstadt 98,1.2,3–3,3.9,Gladbach,17810,Merck-Stadion am Böllenfalltor,Timo Gerach,Match Report,
,,,,,,,,,,,,,,
Bundesliga,5,Fri,2023-09-22,20:30 (02:30),Stuttgart,2.3,3–1,0.2,Darmstadt 98,54000,MHPArena,Matthias Jöllenbeck,Match Report,
Bundesliga,5,Sat,2023-09-23,15:30 (21:30),Gladbach,0.8,0–1,0.7,RB Leipzig,50122,Stadion im Borussia-Park,Robert Schröder,Match Report,
Bundesliga,5,Sat,2023-09-23,15:30 (21:30),Augsburg,0.8,2–1,0.6,Mainz 05,27310,WWK Arena,Marco Fritz,Match Report,
Bundesliga,5,Sat,2023-09-23,15:30 (21:30),Dortmund,1.7,1–0,0.5,Wolfsburg,81365,Signal Iduna Park,Sven Jablonski,Match Report,
Bundesliga,5,Sat,2023-09-23,15:30 (21:30),Union Berlin,1.6,0–2,2.0,Hoffenheim,20000,Stadion An der Alten Försterei,Deniz Aytekin,Match Report,
Bundesliga,5,Sat,2023-09-23,15:30 (21:30),Bayern Munich,4.8,7–0,0.1,Bochum,75000,Allianz Arena,Robert Hartmann,Match Report,
Bundesliga,5,Sat,2023-09-23,18:30 (00:30),Werder Bremen,2.1,2–1,1.3,Köln,42100,Wohninvest Weserstadion,Bastian Dankert,Match Report,
Bundesliga,5,Sun,2023-09-24,15:30 (21:30),Leverkusen,3.4,4–1,0.5,Heidenheim,29557,BayArena,Christian Dingert,Match Report,
Bundesliga,5,Sun,2023-09-24,17:30 (23:30),Eint Frankfurt,0.6,0–0,0.5,Freiburg,55800,Deutsche Bank Park,Felix Zwayer,Match Report,
,,,,,,,,,,,,,,
Bundesliga,6,Fri,2023-09-29,20:30 (02:30),Hoffenheim,1.9,1–3,1.6,Dortmund,30150,PreZero Arena,Florian Badstübner,Match Report,
Bundesliga,6,Sat,2023-09-30,15:30 (21:30),Wolfsburg,3.2,2–0,1.3,Eint Frankfurt,28323,Volkswagen Arena,Frank Willenborg,Match Report,
Bundesliga,6,Sat,2023-09-30,15:30 (21:30),Bochum,1.7,1–3,2.9,Gladbach,26000,Vonovia Ruhrstadion,Felix Brych,Match Report,
Bundesliga,6,Sat,2023-09-30,15:30 (21:30),Heidenheim,0.8,1–0,2.2,Union Berlin,15000,Voith-Arena,Sascha Stegemann,Match Report,
Bundesliga,6,Sat,2023-09-30,15:30 (21:30),Mainz 05,0.5,0–3,1.1,Leverkusen,33305,Mewa Arena,Benjamin Brand,Match Report,
Bundesliga,6,Sat,2023-09-30,15:30 (21:30),Köln,0.7,0–2,2.5,Stuttgart,50000,RheinEnergieSTADION,Tobias Stieler,Match Report,
Bundesliga,6,Sat,2023-09-30,18:30 (00:30),RB Leipzig,0.7,2–2,2.3,Bayern Munich,47069,Red Bull Arena,Marco Fritz,Match Report,
