Date,Home,Away,Score,xG,xG.1,HomeGoals,AwayGoals
2025-08-22,Bayern Munich,RB Leipzig,6–0,1.7,0.5,6,0
2025-08-23,Heidenheim,Wolfsburg,1–3,0.7,2.4,1,3
2025-08-23,Union Berlin,Stuttgart,2–1,0.3,1.7,2,1
2025-08-23,Freiburg,Augsburg,1–3,2.4,1.3,1,3
2025-08-23,Leverkusen,Hoffenheim,1–2,0.7,0.4,1,2
2025-08-23,Eint Frankfurt,Werder Bremen,4–1,2.7,0.5,4,1
2025-08-23,St. Pauli,Dortmund,3–3,1.2,1.6,3,3
2025-08-24,Mainz 05,Köln,0–1,1.4,1.4,0,1
2025-08-24,Gladbach,Hamburger SV,0–0,1.1,0.4,0,0
,,,,,,,
2025-08-29,Hamburger SV,St. Pauli,0–2,0.4,1.4,0,2
2025-08-30,Hoffenheim,Eint Frankfurt,1–3,1.4,1.6,1,3
2025-08-30,RB Leipzig,Heidenheim,2–0,2.2,0.9,2,0
2025-08-30,Stuttgart,Gladbach,1–0,0.8,1.8,1,0
2025-08-30,Werder Bremen,Leverkusen,3–3,2.6,2.1,3,3
2025-08-30,Augsburg,Bayern Munich,2–3,0.5,4.2,2,3
2025-08-31,Wolfsburg,Mainz 05,1–1,0.6,1.9,1,1
2025-08-31,Dortmund,Union Berlin,3–0,2.4,1.1,3,0
2025-08-31,Köln,Freiburg,4–1,2.1,0.9,4,1
,,,,,,,
2025-09-12,Leverkusen,Eint Frankfurt,3–1,2.1,0.8,3,1
2025-09-13,Heidenheim,Dortmund,0–2,0.4,2.7,0,2
2025-09-13,Freiburg,Stuttgart,3–1,1.5,0.4,3,1
2025-09-13,Union Berlin,Hoffenheim,2–4,2.6,2.8,2,4
2025-09-13,Mainz 05,RB Leipzig,0–1,1.1,1.8,0,1
2025-09-13,Wolfsburg,Köln,3–3,1.5,1.6,3,3
2025-09-13,Bayern Munich,Hamburger SV,5–0,2.4,0.6,5,0
2025-09-14,St. Pauli,Augsburg,2–1,1.8,0.8,2,1
2025-09-14,Gladbach,Werder Bremen,0–4,1.5,2.1,0,4
,,,,,,,
2025-09-19,Stuttgart,St. Pauli,2–0,2.1,0.9,2,0
2025-09-20,Hoffenheim,Bayern Munich,1–4,0.9,3.0,1,4
2025-09-20,Hamburger SV,Heidenheim,2–1,2.1,2.9,2,1
2025-09-20,Augsburg,Mainz 05,1–4,1.1,2.5,1,4
2025-09-20,Werder Bremen,Freiburg,0–3,1.2,2.4,0,3
2025-09-20,RB Leipzig,Köln,3–1,3.3,1.7,3,1
2025-09-21,Eint Frankfurt,Union Berlin,3–4,1.9,1.7,3,4
2025-09-21,Leverkusen,Gladbach,1–1,1.4,0.8,1,1
2025-09-21,Dortmund,Wolfsburg,1–0,1.1,0.8,1,0
,,,,,,,
,Home,Away,Score,,,,
