Squad,Home.xG,Home.xGA,Away.xG,Away.xGA
Bayern Munich,25.3,6.6,21.6,5.3
Dortmund,12.3,6.4,13.0,9.8
RB Leipzig,16.3,9.6,11.6,11.1
Stuttgart,10.3,10.0,14.1,12.3
Hoffenheim,10.9,10.9,11.6,11.7
Leverkusen,16.9,7.6,12.1,12.8
Eint Frankfurt,12.6,9.0,11.2,12.7
Freiburg,15.8,7.2,10.7,13.2
Union Berlin,12.9,10.9,7.8,10.1
Gladbach,12.4,16.5,9.8,7.1
Wolfsburg,11.6,14.9,10.3,13.5
Köln,11.0,8.4,12.6,17.1
Werder Bremen,10.1,9.6,7.5,16.5
Hamburger SV,10.7,9.4,8.0,15.6
Augsburg,9.3,14.5,9.2,14.3
Mainz 05,9.9,12.3,8.2,18.8
St. Pauli,7.2,10.8,5.0,12.9
Heidenheim,11.9,18.5,8.7,12.6
