Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Bayern Munich,17,15,2,0,66,13,53,47,2.76,46.9,11.9,35.0,2.19,W D W W W,75000,Harry Kane - 20,Manuel Neuer,
2,Dortmund,17,10,6,1,32,15,17,36,2.12,25.2,16.2,9.0,0.56,W D W D W,81365,Serhou Guirassy - 6,Gregor Kobel,
3,RB Leipzig,16,10,2,4,32,19,13,32,2.0,27.9,20.7,7.2,0.48,D W L L W,46725,"Christoph Baumgartner, Yan Diomandé - 6",Péter Gulácsi,
4,Stuttgart,17,10,2,5,32,25,7,32,1.88,24.4,22.3,2.1,0.13,L W D W W,59500,Deniz Undav - 10,Alexander Nübel,
5,Hoffenheim,16,9,3,4,34,21,13,30,1.88,22.5,22.6,-0.1,-0.01,W L W D W,27358,"Andrej Kramarić, Tim Lemperle... - 6",Oliver Baumann,
6,Leverkusen,16,9,2,5,34,24,10,29,1.81,29.0,20.4,8.6,0.54,L L W W L,30013,Patrik Schick - 6,Mark Flekken,
7,Eint Frankfurt,17,7,5,5,35,36,-1,26,1.53,23.8,21.7,2.2,0.13,L W D D L,59100,Jonathan Burkardt - 8,Michael Zetterer,
8,Freiburg,17,6,5,6,27,29,-2,23,1.35,26.6,20.3,6.2,0.39,L D W W L,34250,Vincenzo Grifo - 6,Noah Atubolu,
9,Union Berlin,16,6,4,6,22,25,-3,22,1.38,20.8,21.0,-0.3,-0.02,L L W W D,21981,Ilyas Ansah - 5,Frederik Rønnow,
10,Gladbach,17,5,4,8,23,29,-6,19,1.12,22.2,23.6,-1.4,-0.09,W L L W L,51308,Haris Tabakovic - 9,Moritz Nicolas,
11,Wolfsburg,17,5,3,9,26,37,-11,18,1.06,21.9,28.4,-6.6,-0.41,W W L L W,23674,Mohamed Amoura - 6,Kamil Grabara,
12,Köln,17,4,5,8,25,29,-4,17,1.0,23.6,25.5,-1.9,-0.12,D L L D L,50000,Said El Mala - 7,Marvin Schwäbe,
13,Werder Bremen,16,4,5,7,18,31,-13,17,1.06,17.6,26.1,-8.4,-0.56,D L L D L,41600,Jens Stage - 5,Mio Backhaus,
14,Hamburger SV,16,4,4,8,17,27,-10,16,1.0,18.7,25.0,-6.3,-0.39,W W L D L,56888,"Albert Sambi Lokonga, Rayan Philippe - 4",Daniel Heuer Fernandes,
15,Augsburg,16,4,2,10,17,32,-15,14,0.88,18.5,28.8,-10.3,-0.64,L W L D L,29743,Fabian Rieder - 3,Finn Dahmen,
16,Mainz 05,17,2,6,9,17,29,-12,12,0.71,18.1,31.1,-13.0,-0.81,L D D D W,31024,Nadiem Amiri - 5,Robin Zentner,
17,St. Pauli,16,3,3,10,14,28,-14,12,0.75,12.2,23.7,-11.5,-0.77,L D W D L,29503,Andreas Hountondji - 4,Nikola Vasilj,
18,Heidenheim,17,3,3,11,16,38,-22,12,0.71,20.6,31.2,-10.6,-0.66,W L L D L,14778,Stefan Schimmer - 5,Diant Ramaj,
