Squad,GF,GA,xG,xGA,Pts
Bayern Munich,66,13,46.9,11.9,47
Dortmund,32,15,25.2,16.2,36
RB Leipzig,32,19,27.9,20.7,32
Stuttgart,32,25,24.4,22.3,32
Hoffenheim,34,21,22.5,22.6,30
Leverkusen,34,24,29.0,20.4,29
Eint Frankfurt,35,36,23.8,21.7,26
Freiburg,27,29,26.6,20.3,23
Union Berlin,22,25,20.8,21.0,22
Gladbach,23,29,22.2,23.6,19
Wolfsburg,26,37,21.9,28.4,18
Köln,25,29,23.6,25.5,17
Werder Bremen,18,31,17.6,26.1,17
Hamburger SV,17,27,18.7,25.0,16
Augsburg,17,32,18.5,28.8,14
Mainz 05,17,29,18.1,31.1,12
St. Pauli,14,28,12.2,23.7,12
Heidenheim,16,38,20.6,31.2,12
