Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Squad,Home_MP,Home_W,Home_D,Home_L,Home_GF,Home_GA,Home_GD,Home_Pts,Home_Pts/MP,Home_xG,Home_xGA,Home_xGD,Home_xGD/90,Away_MP,Away_W,Away_D,Away_L,Away_GF,Away_GA,Away_GD,Away_Pts,Away_Pts/MP,Away_xG,Away_xGA,Away_xGD,Away_xGD/90
1,Leeds United,23,18,4,1,61,12,49,58,2.52,48.5,11.2,37.3,1.62,23,11,9,3,34,18,16,42,1.83,40.8,18.4,22.4,0.98
2,Burnley,23,14,9,0,35,8,27,51,2.22,29.6,18.4,11.3,0.49,23,14,7,2,34,8,26,49,2.13,28.2,20.7,7.5,0.32
3,Sheffield Utd,23,15,4,4,33,17,16,49,2.13,35.5,19.8,15.6,0.68,23,13,4,6,30,19,11,43,1.87,27.1,26.3,0.8,0.03
4,Sunderland,23,12,7,4,32,18,14,43,1.87,32.1,17.9,14.2,0.62,23,9,6,8,26,26,0,33,1.43,26.7,30.9,-4.2,-0.18
5,Coventry City,23,14,3,6,40,24,16,45,1.96,37.5,24.4,13.2,0.57,23,6,6,11,24,34,-10,24,1.04,30.4,28.3,2.2,0.09
6,Bristol City,23,13,7,3,36,20,16,46,2.0,35.3,24.6,10.6,0.46,23,4,10,9,23,35,-12,22,0.96,24.1,31.8,-7.6,-0.33
7,Blackburn,23,12,4,7,34,23,11,40,1.74,31.5,24.5,7.0,0.3,23,7,5,11,19,25,-6,26,1.13,20.1,29.5,-9.4,-0.41
8,Millwall,23,12,4,7,27,19,8,40,1.74,28.5,18.2,10.3,0.45,23,6,8,9,20,30,-10,26,1.13,24.9,31.6,-6.7,-0.29
9,West Brom,23,11,8,4,33,20,13,41,1.78,34.0,22.4,11.6,0.5,23,4,11,8,24,27,-3,23,1.0,24.7,24.7,0.1,0.0
10,Middlesbrough,23,11,6,6,31,23,8,39,1.7,33.7,24.2,9.5,0.41,23,7,4,12,33,33,0,25,1.09,33.6,31.3,2.3,0.1
11,Swansea City,23,10,6,7,33,24,9,36,1.57,31.7,23.3,8.4,0.37,23,7,4,12,18,32,-14,25,1.09,24.7,34.3,-9.6,-0.42
12,Sheffield Weds,23,6,8,9,30,32,-2,26,1.13,37.8,31.7,6.1,0.26,23,9,5,9,30,37,-7,32,1.39,24.9,31.3,-6.3,-0.28
13,Norwich City,23,10,8,5,52,34,18,38,1.65,41.2,27.6,13.6,0.59,23,4,7,12,19,34,-15,19,0.83,22.6,26.8,-4.2,-0.18
14,Watford,23,12,4,7,27,22,5,40,1.74,29.7,31.3,-1.6,-0.07,23,4,5,14,26,39,-13,17,0.74,25.7,36.2,-10.5,-0.46
15,QPR,23,7,8,8,31,34,-3,29,1.26,27.3,26.0,1.3,0.06,23,7,6,10,22,29,-7,27,1.17,20.5,28.1,-7.6,-0.33
16,Portsmouth,23,11,7,5,33,21,12,40,1.74,31.3,26.7,4.6,0.2,23,3,5,15,25,50,-25,14,0.61,24.4,42.2,-17.8,-0.78
17,Oxford United,23,11,5,7,31,29,2,38,1.65,23.1,29.2,-6.1,-0.27,23,2,9,12,18,36,-18,15,0.65,19.0,37.2,-18.2,-0.79
18,Stoke City,23,8,9,6,29,25,4,33,1.43,25.1,31.8,-6.7,-0.29,23,4,6,13,16,37,-21,18,0.78,25.7,40.8,-15.2,-0.66
19,Derby County,23,9,5,9,25,18,7,32,1.39,28.5,22.2,6.2,0.27,23,4,6,13,23,38,-15,18,0.78,18.4,27.6,-9.2,-0.4
20,Preston,23,7,12,4,26,22,4,33,1.43,28.8,23.5,5.3,0.23,23,3,8,12,22,37,-15,17,0.74,22.5,34.5,-12.0,-0.52
21,Hull City,23,5,8,10,24,28,-4,23,1.0,29.5,22.9,6.6,0.29,23,7,5,11,20,26,-6,26,1.13,22.4,30.3,-7.9,-0.34
22,Luton Town,23,9,7,7,25,22,3,34,1.48,30.0,20.4,9.6,0.42,23,4,3,16,20,47,-27,15,0.65,19.8,35.9,-16.1,-0.7
23,Plymouth Argyle,23,9,7,7,40,39,1,34,1.48,27.5,36.0,-8.5,-0.37,23,2,6,15,11,49,-38,12,0.52,12.8,47.5,-34.7,-1.51
24,Cardiff City,23,7,6,10,24,27,-3,27,1.17,26.5,26.6,-0.2,-0.01,23,2,11,10,24,46,-22,17,0.74,20.7,37.9,-17.2,-0.75
