Unnamed: 0_level_0_Squad,Unnamed: 1_level_0_# Pl,Unnamed: 2_level_0_90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 17_level_0_Ast,Unnamed: 18_level_0_xAG,Expected_xA,Expected_A-xAG,Unnamed: 21_level_0_KP,Unnamed: 22_level_0_1/3,Unnamed: 23_level_0_PPA,Unnamed: 24_level_0_CrsPA,Unnamed: 25_level_0_PrgP
Blackburn,33,46.0,15925,20765,76.7,288371,100810,6857,7925,86.5,6855,8149,84.1,1766,3519,50.2,43,38.1,40.8,4.9,345,1040,304,84,1396
Bristol City,24,46.0,17083,22337,76.5,306278,108276,7291,8424,86.6,7841,9334,84.0,1573,3490,45.1,39,43.0,49.2,-4.0,460,1542,383,103,1776
Burnley,38,46.0,20212,24705,81.8,361516,113550,8620,9586,89.9,9360,10607,88.2,1824,3464,52.7,45,41.3,44.2,3.7,417,1420,347,91,1739
Cardiff City,33,46.0,14581,19572,74.5,264268,100824,6395,7480,85.5,6258,7726,81.0,1607,3331,48.2,31,32.9,33.9,-1.9,404,1237,273,94,1495
Coventry City,26,46.0,17595,22467,78.3,305069,110319,8074,9157,88.2,7538,8801,85.6,1523,3369,45.2,45,49.8,52.5,-4.8,457,1440,358,133,1703
Derby County,33,46.0,11752,17015,69.1,228954,89818,4573,5570,82.1,5282,6732,78.5,1631,3657,44.6,29,29.5,30.8,-0.5,312,931,247,110,1225
Hull City,37,46.0,17094,21725,78.7,297751,101163,7530,8538,88.2,7658,8916,85.9,1438,3059,47.0,25,38.1,38.7,-13.1,385,1196,349,112,1434
Leeds United,28,46.0,22829,27267,83.7,379466,125654,10764,11889,90.5,10067,11346,88.7,1456,2704,53.8,65,67.8,64.6,-2.8,562,1839,486,81,2236
Luton Town,37,46.0,12035,17307,69.5,228451,98120,5075,6142,82.6,4938,6256,78.9,1601,3776,42.4,30,36.0,39.7,-6.0,375,1061,337,94,1311
Middlesbrough,33,46.0,21092,25396,83.1,358699,119203,9912,10881,91.1,9056,10213,88.7,1661,3155,52.6,46,49.0,45.4,-3.0,525,1644,441,63,2110
Millwall,34,46.0,11167,16498,67.7,209625,85483,4677,5829,80.2,4602,5942,77.4,1492,3561,41.9,31,37.3,36.2,-6.3,381,965,271,101,1327
Norwich City,35,46.0,21886,26188,83.6,365755,121234,10521,11449,91.9,9405,10575,88.9,1505,3005,50.1,55,49.0,46.5,6.0,400,1335,328,64,1609
Oxford United,34,46.0,13730,18679,73.5,255345,94555,5638,6563,85.9,6205,7478,83.0,1570,3700,42.4,36,32.2,27.0,3.8,321,907,186,61,1032
Plymouth Argyle,34,46.0,12585,17414,72.3,238950,91300,4995,5964,83.8,5925,7211,82.2,1432,3387,42.3,28,27.6,26.3,0.4,304,905,212,53,1134
Portsmouth,37,46.0,11669,17391,67.1,223794,91726,4849,6033,80.4,5105,6682,76.4,1467,3745,39.2,35,35.7,35.4,-0.7,335,1055,273,104,1240
Preston,28,46.0,14756,19862,74.3,271796,108208,6390,7483,85.4,6336,7668,82.6,1690,3675,46.0,35,40.4,38.1,-5.4,378,1148,287,78,1377
QPR,30,46.0,14888,19648,75.8,268502,100767,6534,7570,86.3,6393,7682,83.2,1591,3409,46.7,34,35.4,34.3,-1.4,384,928,242,79,1210
Sheffield Utd,33,46.0,17024,21568,78.9,306526,114778,7522,8535,88.1,7355,8549,86.0,1764,3434,51.4,38,47.0,46.5,-9.0,431,1318,334,62,1632
Sheffield Weds,28,46.0,14615,19364,75.5,256899,99566,6682,7750,86.2,5995,7286,82.3,1473,3113,47.3,43,47.2,48.0,-4.2,446,949,374,107,1506
Stoke City,32,46.0,14511,19228,75.5,263813,96110,6014,6954,86.5,6685,7947,84.1,1453,3329,43.6,29,35.1,31.1,-6.1,319,1052,256,60,1299
Sunderland,30,46.0,16600,20870,79.5,306183,104164,6463,7481,86.4,7942,8979,88.5,1720,3225,53.3,37,40.9,41.0,-3.9,440,1473,362,86,1837
Swansea City,26,46.0,19512,24362,80.1,345844,117837,8584,9637,89.1,8732,9969,87.6,1801,3643,49.4,35,43.2,45.8,-8.2,384,1409,316,129,1697
Watford,32,46.0,17159,21738,78.9,290781,105243,8311,9257,89.8,6878,8173,84.2,1488,3164,47.0,33,38.7,37.7,-5.7,384,1192,266,69,1434
West Brom,30,46.0,18955,23417,80.9,335833,113947,8294,9241,89.8,8578,9813,87.4,1692,3302,51.2,43,46.4,44.0,-3.4,450,1373,307,105,1655
