Date,Home,Away,Score,xG,xG.1,HomeGoals,AwayGoals
2025-08-08,Birmingham City,Ipswich Town,1–1,1.1,1.3,1,1
2025-08-09,Coventry City,Hull City,0–0,1.4,0.4,0,0
2025-08-09,Southampton,Wrexham,2–1,3.3,1.9,2,1
2025-08-09,Charlton Ath,Watford,1–0,1.2,0.7,1,0
2025-08-09,QPR,Preston,1–1,0.9,0.8,1,1
2025-08-09,Stoke City,Derby County,3–1,1.1,0.4,3,1
2025-08-09,Norwich City,Millwall,1–2,1.0,1.9,1,2
2025-08-09,Middlesbrough,Swansea City,1–0,0.3,0.1,1,0
2025-08-09,Oxford United,Portsmouth,0–1,1.3,1.2,0,1
2025-08-09,West Brom,Blackburn,1–0,1.2,0.7,1,0
2025-08-09,Sheffield Utd,Bristol City,1–4,2.1,1.3,1,4
2025-08-10,Leicester City,Sheffield Weds,2–1,2.5,0.6,2,1
,,,,,,,
2025-08-16,Wrexham,West Brom,2–3,2.0,2.0,2,3
2025-08-16,Portsmouth,Norwich City,1–2,1.7,2.0,1,2
2025-08-16,Derby County,Coventry City,3–5,1.4,3.2,3,5
2025-08-16,Millwall,Middlesbrough,0–3,0.6,1.0,0,3
2025-08-16,Bristol City,Charlton Ath,0–0,0.7,1.0,0,0
2025-08-16,Sheffield Weds,Stoke City,0–3,1.5,2.0,0,3
2025-08-16,Watford,QPR,2–1,2.1,0.5,2,1
2025-08-16,Blackburn,Birmingham City,1–2,0.4,2.0,1,2
2025-08-16,Preston,Leicester City,2–1,2.5,0.9,2,1
2025-08-16,Swansea City,Sheffield Utd,1–0,1.3,0.6,1,0
2025-08-17,Ipswich Town,Southampton,1–1,1.6,0.8,1,1
2025-08-17,Hull City,Oxford United,3–2,1.9,1.0,3,2
,,,,,,,
2025-08-22,Derby County,Bristol City,1–1,0.5,0.7,1,1
2025-08-23,Swansea City,Watford,1–1,0.7,0.4,1,1
2025-08-23,Charlton Ath,Leicester City,0–1,1.6,0.5,0,1
2025-08-23,Hull City,Blackburn,0–3,0.5,3.0,0,3
2025-08-23,West Brom,Portsmouth,1–1,0.6,0.9,1,1
2025-08-23,Preston,Ipswich Town,1–0,0.8,1.4,1,0
2025-08-23,Coventry City,QPR,7–1,1.3,0.6,7,1
2025-08-23,Birmingham City,Oxford United,1–0,1.6,0.4,1,0
2025-08-23,Norwich City,Middlesbrough,1–2,1.2,1.5,1,2
2025-08-23,Sheffield Utd,Millwall,0–1,1.2,1.3,0,1
2025-08-23,Southampton,Stoke City,1–2,2.6,1.5,1,2
2025-08-23,Wrexham,Sheffield Weds,2–2,1.3,2.6,2,2
,,,,,,,
2025-08-29,Leicester City,Birmingham City,2–0,0.7,0.9,2,0
,Home,Away,Score,,,,
2025-08-30,QPR,Charlton Ath,3–1,1.4,0.8,3,1
2025-08-30,Stoke City,West Brom,0–1,1.0,0.7,0,1
2025-08-30,Middlesbrough,Sheffield Utd,1–0,1.4,0.6,1,0
2025-08-30,Blackburn,Norwich City,0–2,1.9,2.1,0,2
2025-08-30,Sheffield Weds,Swansea City,0–2,0.4,1.3,0,2
2025-08-30,Millwall,Wrexham,0–2,1.9,0.5,0,2
2025-08-30,Ipswich Town,Derby County,2–2,2.7,1.4,2,2
2025-08-30,Oxford United,Coventry City,2–2,1.0,1.7,2,2
2025-08-30,Watford,Southampton,2–2,0.5,1.6,2,2
2025-08-30,Bristol City,Hull City,4–2,3.4,2.6,4,2
2025-08-30,Portsmouth,Preston,1–0,1.6,1.0,1,0
,,,,,,,
2025-09-12,Ipswich Town,Sheffield Utd,5–0,2.3,0.4,5,0
2025-09-13,Preston,Middlesbrough,2–2,0.8,1.4,2,2
2025-09-13,Oxford United,Leicester City,2–2,2.0,0.8,2,2
2025-09-13,Charlton Ath,Millwall,1–1,0.7,1.0,1,1
2025-09-13,Swansea City,Hull City,2–2,1.0,1.6,2,2
2025-09-13,Wrexham,QPR,1–3,2.0,1.3,1,3
2025-09-13,Sheffield Weds,Bristol City,0–3,0.8,1.4,0,3
2025-09-13,Stoke City,Birmingham City,1–0,0.5,0.5,1,0
2025-09-13,Watford,Blackburn,0–1,0.8,1.4,0,1
