Squad,TklW,Lost,Blocks,Clr
Birmingham City,226,140,223,721
Blackburn,276,174,283,773
Bristol City,256,183,303,840
Charlton Ath,199,149,272,850
Coventry City,221,142,259,678
Derby County,244,148,286,913
Hull City,252,178,335,837
Ipswich Town,182,130,230,662
Leicester City,261,158,266,901
Middlesbrough,276,176,277,584
Millwall,286,164,290,894
Norwich City,266,164,320,732
Oxford United,271,187,312,883
Portsmouth,194,140,243,760
Preston,240,137,327,870
QPR,240,162,261,816
Sheffield Utd,242,153,264,811
Sheffield Weds,264,164,280,749
Southampton,237,142,255,732
Stoke City,182,140,231,662
Swansea City,245,147,278,856
Watford,213,129,242,804
West Brom,255,141,231,787
Wrexham,272,186,346,931
