Squad,Home.xG,Home.xGA,Away.xG,Away.xGA
Coventry City,21.0,12.2,26.6,16.0
Middlesbrough,16.3,14.1,15.4,10.6
Ipswich Town,24.8,9.4,15.7,12.7
Preston,16.7,15.9,13.3,17.3
Millwall,18.6,14.7,14.1,16.0
Watford,20.1,12.4,12.9,12.7
Hull City,17.8,20.6,16.0,22.5
Stoke City,12.3,11.3,16.8,20.8
Wrexham,20.7,16.2,12.0,20.8
Bristol City,18.8,18.5,15.0,15.3
QPR,20.2,12.4,12.3,17.7
Leicester City,15.3,14.2,13.1,23.0
Derby County,15.3,15.8,10.9,16.9
Birmingham City,25.4,12.5,12.0,16.3
Southampton,21.1,13.4,22.6,21.7
Sheffield Utd,22.6,11.8,18.0,17.7
Swansea City,12.3,14.3,10.5,16.6
West Brom,16.6,8.9,15.2,19.2
Charlton Ath,12.1,13.8,13.3,19.0
Blackburn,18.4,14.2,15.5,12.7
Portsmouth,16.3,15.3,7.7,16.5
Norwich City,16.8,17.7,17.0,24.3
Oxford United,14.6,14.4,11.0,18.4
Sheffield Weds,14.2,23.0,10.0,23.1
