Squad,xAG,PrgP,KP
Birmingham City,25.9,1017,258
Blackburn,22.4,894,216
Bristol City,25.4,917,256
Charlton Ath,15.0,686,197
Coventry City,31.9,1044,326
Derby County,17.8,644,173
Hull City,25.2,675,212
Ipswich Town,28.3,1038,290
Leicester City,21.9,932,238
Middlesbrough,23.7,1165,282
Millwall,22.9,848,229
Norwich City,26.1,931,232
Oxford United,19.8,637,225
Portsmouth,17.5,710,191
Preston,23.2,732,220
QPR,21.4,873,223
Sheffield Utd,29.4,916,244
Sheffield Weds,18.3,731,181
Southampton,28.9,1029,278
Stoke City,22.0,894,222
Swansea City,17.7,884,236
Watford,22.6,861,243
West Brom,24.6,871,263
Wrexham,20.0,783,214
