Squad,Poss,PrgC,G+A-PK
Birmingham City,53.8,421,2.12
Blackburn,49.8,391,1.48
Bristol City,47.7,373,2.42
Charlton Ath,42.4,272,1.4
Coventry City,54.7,472,3.35
Derby County,42.3,296,2.0
Hull City,46.3,336,2.58
Ipswich Town,56.8,474,2.32
Leicester City,52.2,434,2.42
Middlesbrough,57.2,490,2.42
Millwall,46.1,324,1.85
Norwich City,51.8,392,1.62
Oxford United,43.2,268,1.52
Portsmouth,49.3,325,1.42
Preston,45.2,362,2.38
QPR,47.0,406,2.19
Sheffield Utd,51.8,399,2.32
Sheffield Weds,47.5,332,1.08
Southampton,57.3,490,2.35
Stoke City,53.5,412,2.04
Swansea City,54.5,387,1.85
Watford,50.9,415,2.27
West Brom,52.0,421,1.96
Wrexham,46.3,382,2.27
