Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Coventry City,26,15,7,4,57,29,28,52,2.0,47.6,28.2,19.5,0.75,D W L D L,29976,Brandon Thomas-Asante - 10,Carl Rushworth,
2,Middlesbrough,26,13,7,6,37,26,11,46,1.77,31.6,24.7,7.0,0.27,L D L L W,27272,Morgan Whittaker - 10,Solomon Brynn,
3,Ipswich Town,25,12,8,5,42,24,18,44,1.76,40.6,22.1,18.5,0.74,L W D W W,28534,Jaden Philogene Bidace - 9,Christian Walton,
4,Preston,26,11,10,5,36,25,11,43,1.65,30.0,33.2,-3.2,-0.12,D D L W W,17309,Lewis Dobbin - 6,Daniel Iversen,
5,Millwall,26,12,7,7,29,33,-4,43,1.65,32.6,30.7,1.9,0.07,L D W D W,16553,Femi Azeez - 6,Max Crocombe,
6,Watford,25,11,8,6,37,29,8,41,1.64,33.0,25.2,7.9,0.31,D W W W W,18600,Luca Kjerrumgaard - 7,Egil Selvik,
7,Hull City,25,12,5,8,40,38,2,41,1.64,33.9,43.2,-9.3,-0.37,W W D W L,21027,Joe Gelhardt - 10,Ivor Pandur,
8,Stoke City,26,12,4,10,32,23,9,40,1.54,29.1,32.0,-3.0,-0.11,L D L W W,25488,Sorba Thomas - 9,Viktor Johansson,
9,Wrexham,26,10,10,6,38,32,6,40,1.54,32.7,37.0,-4.4,-0.17,L W W W W,10708,Kieffer Moore - 10,Arthur Okonkwo,
10,Bristol City,26,11,6,9,38,29,9,39,1.5,33.9,33.8,0.1,0.0,W W L W L,23347,Anis Mehmeti - 8,Radek Vítek,
11,QPR,26,11,5,10,38,39,-1,38,1.46,32.6,30.1,2.5,0.09,W D L L W,16654,Rumarn Burrell - 10,Paul Nardi,
12,Leicester City,26,10,7,9,37,38,-1,37,1.42,28.4,37.2,-8.8,-0.34,L L W L W,29672,Jordan James - 8,Jakub Stolarczyk,
13,Derby County,26,9,8,9,35,35,0,35,1.35,26.2,32.8,-6.6,-0.25,D D L W L,28421,Carlton Morris - 10,Jacob Widell Zetterström,
14,Birmingham City,26,9,7,10,35,36,-1,34,1.31,37.4,28.8,8.6,0.33,L D D L W,27314,Jay Stansfield - 8,James Beadle,
15,Southampton,26,8,9,9,38,38,0,33,1.27,43.7,35.1,8.6,0.33,D L D D L,28695,Adam Armstrong - 11,Gavin Bazunu,
16,Sheffield Utd,25,10,2,13,36,38,-2,32,1.28,40.5,29.6,10.9,0.44,L W L W W,27653,Callum O'Hare - 7,Michael Cooper,
17,Swansea City,26,9,5,12,27,33,-6,32,1.23,22.8,30.9,-8.1,-0.31,W L W W L,16257,Žan Vipotnik - 10,Lawrence Vigouroux,
18,West Brom,26,9,4,13,29,35,-6,31,1.19,31.8,28.1,3.7,0.14,L L W L L,23927,Aune Heggebø - 8,Joshua Griffiths,
19,Charlton Ath,25,7,8,10,25,32,-7,29,1.16,25.3,32.8,-7.5,-0.3,W L L D D,20652,Sonny Carey - 5,Thomas Kaminski,
20,Blackburn,25,7,7,11,24,30,-6,28,1.12,33.9,26.8,7.0,0.27,W D D L D,13862,Andri Guðjohnsen - 7,Balázs Tóth,
21,Portsmouth,24,6,7,11,21,35,-14,25,1.04,24.0,31.8,-7.8,-0.33,W D D W L,20196,Adrian Segecic - 4,Nicolas Schmid,
22,Norwich City,26,6,6,14,28,39,-11,24,0.92,33.8,42.0,-8.2,-0.32,D W L W L,25914,Jovon Makama - 9,Vladan Kovačević,
23,Oxford United,25,5,7,13,25,35,-10,22,0.88,25.5,32.8,-7.2,-0.29,L L W L L,11150,Will Lankshear - 6,Jamie Cumming,
24,Sheffield Weds,25,1,8,16,18,51,-33,-7,-0.28,24.2,46.1,-22.0,-0.84,L D D L L,23854,"Barry Bannan, Charlie McNeill - 3",Ethan Horvath,18-point deduction 1
