Squad,GF,GA,xG,xGA,Pts
Coventry City,57,29,47.6,28.2,52
Middlesbrough,37,26,31.6,24.7,46
Ipswich Town,42,24,40.6,22.1,44
Preston,36,25,30.0,33.2,43
Millwall,29,33,32.6,30.7,43
Watford,37,29,33.0,25.2,41
Hull City,40,38,33.9,43.2,41
Stoke City,32,23,29.1,32.0,40
Wrexham,38,32,32.7,37.0,40
Bristol City,38,29,33.9,33.8,39
QPR,38,39,32.6,30.1,38
Leicester City,37,38,28.4,37.2,37
Derby County,35,35,26.2,32.8,35
Birmingham City,35,36,37.4,28.8,34
Southampton,38,38,43.7,35.1,33
Sheffield Utd,36,38,40.5,29.6,32
Swansea City,27,33,22.8,30.9,32
West Brom,29,35,31.8,28.1,31
Charlton Ath,25,32,25.3,32.8,29
Blackburn,24,30,33.9,26.8,28
Portsmouth,21,35,24.0,31.8,25
Norwich City,28,39,33.8,42.0,24
Oxford United,25,35,25.5,32.8,22
Sheffield Weds,18,51,24.2,46.1,-7
