Unnamed: 0_level_0_Squad,Unnamed: 1_level_0_# Pl,Unnamed: 2_level_0_90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG
Bodø/Glimt,26,30.0,22,2,1,245,291,35,661,190,324,,,2
Brann,25,30.0,54,3,2,363,354,57,562,206,315,,,1
Bryne,30,30.0,53,1,0,371,313,36,507,288,335,,,1
Fredrikstad,30,30.0,43,0,0,304,307,47,561,270,355,,,3
HamKam,30,30.0,45,2,0,348,312,37,579,252,283,,,2
Haugesund,35,30.0,40,2,0,334,349,44,348,266,294,,,3
KFUM Oslo,27,30.0,58,3,1,328,298,31,581,229,307,,,1
Kristiansund,27,30.0,48,2,0,296,318,52,477,247,287,,,1
Molde,34,30.0,70,3,2,332,316,41,640,257,351,,,4
Rosenborg,28,30.0,58,2,0,328,389,48,502,228,293,,,3
Sandefjord,27,30.0,57,3,1,399,376,34,491,236,341,,,3
Sarpsborg 08,32,30.0,42,1,0,345,337,38,623,238,288,,,0
Strømsgodset,29,30.0,40,1,0,303,302,34,651,274,262,,,5
Tromsø,26,30.0,53,2,0,395,308,42,519,231,322,,,0
Vålerenga,27,30.0,49,4,1,368,385,44,601,254,322,,,0
Viking,29,30.0,48,1,1,374,353,51,672,245,310,,,2
