Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Squad,Home_MP,Home_W,Home_D,Home_L,Home_GF,Home_GA,Home_GD,Home_Pts,Home_Pts/MP,Away_MP,Away_W,Away_D,Away_L,Away_GF,Away_GA,Away_GD,Away_Pts,Away_Pts/MP
1,Viking,15,12,2,1,43,15,28,38,2.53,15,10,3,2,34,21,13,33,2.2
2,Bodø/Glimt,15,12,1,2,50,11,39,37,2.47,15,10,3,2,35,17,18,33,2.2
3,Tromsø,15,10,1,4,24,13,11,31,2.07,15,8,2,5,26,23,3,26,1.73
4,Brann,15,10,3,2,31,19,12,33,2.2,15,7,2,6,24,27,-3,23,1.53
5,Sandefjord,15,11,1,3,31,12,19,34,2.27,15,4,2,9,24,30,-6,14,0.93
6,Vålerenga,15,9,3,3,31,18,13,30,2.0,15,4,1,10,18,32,-14,13,0.87
7,Rosenborg,15,7,6,2,27,12,15,27,1.8,15,4,3,8,18,30,-12,15,1.0
8,Fredrikstad,15,7,4,4,24,16,8,25,1.67,15,4,5,6,14,19,-5,17,1.13
9,Sarpsborg 08,15,5,4,6,24,26,-2,19,1.27,15,6,4,5,24,24,0,22,1.47
10,Molde,15,8,1,6,29,19,10,25,1.67,15,4,2,9,17,23,-6,14,0.93
11,HamKam,15,7,3,5,27,22,5,24,1.6,15,3,4,8,15,25,-10,13,0.87
12,KFUM Oslo,15,5,5,5,26,22,4,20,1.33,15,3,6,6,16,19,-3,15,1.0
13,Kristiansund,15,5,4,6,19,24,-5,19,1.27,15,4,3,8,15,35,-20,15,1.0
14,Bryne,15,6,4,5,21,24,-3,22,1.47,15,2,3,10,16,32,-16,9,0.6
15,Strømsgodset,15,3,1,11,16,35,-19,10,0.67,15,3,1,11,21,37,-16,10,0.67
16,Haugesund,15,1,2,12,11,40,-29,5,0.33,15,1,1,13,11,40,-29,4,0.27
