Unnamed: 0_level_0_Squad,Unnamed: 1_level_0_# Pl,Unnamed: 2_level_0_Age,Unnamed: 3_level_0_Poss,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK
Bodø/Glimt,26,26.3,63.8,30,330,2700,30.0,82,62,144,77,5,7,22,2,2.73,2.07,4.8,2.57,4.63
Brann,25,25.4,61.9,30,330,2700,30.0,54,41,95,45,9,10,54,3,1.8,1.37,3.17,1.5,2.87
Bryne,30,24.9,44.6,30,330,2700,30.0,34,23,57,31,3,4,53,1,1.13,0.77,1.9,1.03,1.8
Fredrikstad,30,25.0,46.5,30,330,2700,30.0,34,21,55,30,4,7,43,0,1.13,0.7,1.83,1.0,1.7
HamKam,30,26.4,41.8,30,330,2700,30.0,40,32,72,37,3,4,45,2,1.33,1.07,2.4,1.23,2.3
Haugesund,35,23.2,44.3,30,330,2700,30.0,21,11,32,18,3,3,40,2,0.7,0.37,1.07,0.6,0.97
KFUM Oslo,27,26.0,50.1,30,330,2700,30.0,40,29,69,38,2,3,58,3,1.33,0.97,2.3,1.27,2.23
Kristiansund,27,23.9,43.0,30,330,2700,30.0,36,24,60,31,5,6,48,2,1.2,0.8,2.0,1.03,1.83
Molde,34,26.7,55.3,30,330,2700,30.0,44,32,76,39,5,6,70,3,1.47,1.07,2.53,1.3,2.37
Rosenborg,28,25.1,53.1,30,330,2700,30.0,42,30,72,37,5,5,58,2,1.4,1.0,2.4,1.23,2.23
Sandefjord,27,24.0,53.1,30,330,2700,30.0,53,36,89,52,1,1,57,3,1.77,1.2,2.97,1.73,2.93
Sarpsborg 08,32,25.0,47.9,30,330,2700,30.0,45,22,67,38,7,7,42,1,1.5,0.73,2.23,1.27,2.0
Strømsgodset,29,26.2,45.6,30,330,2700,30.0,37,26,63,36,1,2,40,1,1.23,0.87,2.1,1.2,2.07
Tromsø,26,25.4,50.1,30,330,2700,30.0,50,36,86,46,4,4,53,2,1.67,1.2,2.87,1.53,2.73
Vålerenga,27,25.3,48.2,30,330,2700,30.0,49,39,88,47,2,2,49,4,1.63,1.3,2.93,1.57,2.87
Viking,29,25.3,50.9,30,330,2700,30.0,73,48,121,60,13,14,48,1,2.43,1.6,4.03,2.0,3.6
