Unnamed: 0_level_0_Squad,Unnamed: 1_level_0_# Pl,Unnamed: 2_level_0_90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG
ADO Den Haag,33,38.0,70,3,1,450,377,77,800,383,404,,,1
Cambuur,35,38.0,71,2,1,451,376,69,772,363,399,,,2
De Graafschap,33,38.0,56,1,0,365,341,52,900,334,376,,,2
Den Bosch,29,38.0,75,3,1,401,406,59,534,348,425,,,0
Dordrecht,29,38.0,76,3,2,434,422,78,620,379,433,,,0
Emmen,29,38.0,64,3,1,461,389,69,731,421,428,,,3
FC Eindhoven,25,38.0,57,2,1,359,367,54,771,367,404,,,1
Groningen,32,38.0,52,2,0,414,402,78,744,392,402,,,1
Helmond Sport,26,38.0,60,2,1,390,392,65,587,351,384,,,0
Jong Ajax,48,38.0,60,0,0,359,406,75,421,375,411,,,1
Jong AZ,46,38.0,69,2,1,411,473,62,352,338,488,,,0
Jong PSV,48,38.0,58,4,2,408,336,54,551,333,418,,,3
Jong Utrecht,35,38.0,77,4,1,473,398,78,514,376,435,,,2
MVV Maastricht,24,38.0,47,4,1,422,304,95,538,353,345,,,3
NAC Breda,31,38.0,68,2,2,413,425,91,764,347,410,,,1
Oss,31,38.0,65,2,1,438,352,61,685,430,414,,,0
Roda JC,29,38.0,60,2,1,386,449,75,639,376,410,,,1
Telstar,31,38.0,60,7,4,464,425,103,767,392,379,,,2
VVV-Venlo,25,38.0,56,5,2,409,432,40,732,370,401,,,2
Willem II,24,38.0,58,1,1,365,404,95,808,376,381,,,1
