Unnamed: 0_level_0_Squad,Unnamed: 1_level_0_# Pl,Unnamed: 2_level_0_Age,Unnamed: 3_level_0_Poss,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK
ADO Den Haag,33,27.0,52.4,38,418,3420,38.0,72,56,128,69,3,4,70,3,1.89,1.47,3.37,1.82,3.29
Cambuur,35,23.2,51.4,38,418,3420,38.0,69,50,119,61,8,9,71,2,1.82,1.32,3.13,1.61,2.92
De Graafschap,33,24.7,52.4,38,418,3420,38.0,59,49,108,58,1,2,56,1,1.55,1.29,2.84,1.53,2.82
Den Bosch,29,22.5,44.7,38,418,3420,38.0,37,31,68,37,0,1,75,3,0.97,0.82,1.79,0.97,1.79
Dordrecht,29,22.9,52.5,38,418,3420,38.0,71,53,124,69,2,2,76,3,1.87,1.39,3.26,1.82,3.21
Emmen,29,26.4,50.1,38,418,3420,38.0,58,42,100,55,3,4,64,3,1.53,1.11,2.63,1.45,2.55
FC Eindhoven,25,24.3,46.3,38,418,3420,38.0,42,34,76,40,2,3,57,2,1.11,0.89,2.0,1.05,1.95
Groningen,32,24.8,53.7,38,418,3420,38.0,70,55,125,69,1,2,52,2,1.84,1.45,3.29,1.82,3.26
Helmond Sport,26,25.4,48.7,38,418,3420,38.0,52,38,90,49,3,4,60,2,1.37,1.0,2.37,1.29,2.29
Jong Ajax,48,19.0,54.8,38,418,3420,38.0,54,38,92,53,1,1,60,0,1.42,1.0,2.42,1.39,2.39
Jong AZ,46,19.7,52.8,38,418,3420,38.0,62,49,111,57,5,7,69,2,1.63,1.29,2.92,1.5,2.79
Jong PSV,48,19.1,56.8,38,418,3420,38.0,62,47,109,58,4,5,58,4,1.63,1.24,2.87,1.53,2.76
Jong Utrecht,35,19.2,45.2,38,418,3420,38.0,31,21,52,30,1,2,77,4,0.82,0.55,1.37,0.79,1.34
MVV Maastricht,24,23.8,47.5,38,418,3420,38.0,61,44,105,57,4,4,47,4,1.61,1.16,2.76,1.5,2.66
NAC Breda,31,26.5,53.1,38,418,3420,38.0,60,38,98,55,5,6,68,2,1.58,1.0,2.58,1.45,2.45
Oss,31,24.2,39.8,38,418,3420,38.0,31,21,52,28,3,3,65,2,0.82,0.55,1.37,0.74,1.29
Roda JC,29,23.6,51.9,38,418,3420,38.0,69,51,120,67,2,3,60,2,1.82,1.34,3.16,1.76,3.11
Telstar,31,25.7,46.7,38,418,3420,38.0,46,29,75,44,2,2,60,7,1.21,0.76,1.97,1.16,1.92
VVV-Venlo,25,24.1,49.5,38,418,3420,38.0,52,43,95,51,1,3,56,5,1.37,1.13,2.5,1.34,2.47
Willem II,24,26.4,50.5,38,418,3420,38.0,75,58,133,73,2,5,58,1,1.97,1.53,3.5,1.92,3.45
