Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Squad,Home_MP,Home_W,Home_D,Home_L,Home_GF,Home_GA,Home_GD,Home_Pts,Home_Pts/MP,Away_MP,Away_W,Away_D,Away_L,Away_GF,Away_GA,Away_GD,Away_Pts,Away_Pts/MP
1,Volendam,19,15,0,4,50,20,30,45,2.37,19,11,4,4,37,28,9,37,1.95
2,Excelsior,19,14,3,2,41,14,27,45,2.37,19,8,5,6,33,24,9,29,1.53
3,Cambuur,19,11,2,6,27,18,9,35,1.84,19,11,3,5,36,24,12,36,1.89
4,ADO Den Haag,19,12,3,4,32,25,7,39,2.05,19,8,7,4,37,22,15,31,1.63
5,Dordrecht,19,12,7,0,49,17,32,43,2.26,19,8,1,10,20,29,-9,25,1.32
6,De Graafschap,19,14,2,3,46,19,27,44,2.32,19,5,6,8,27,31,-4,21,1.11
7,Telstar,19,11,6,2,44,16,28,39,2.05,19,6,4,9,25,31,-6,22,1.16
8,Emmen,19,7,4,8,30,28,2,25,1.32,19,10,1,8,26,25,1,31,1.63
9,Den Bosch,19,9,6,4,32,19,13,33,1.74,19,6,4,9,21,29,-8,22,1.16
10,Jong AZ,19,6,6,7,39,30,9,24,1.26,19,8,4,7,30,33,-3,28,1.47
11,FC Eindhoven,19,5,5,9,23,36,-13,20,1.05,19,9,4,6,35,28,7,31,1.63
12,Roda JC,19,9,5,5,26,20,6,32,1.68,19,4,5,10,23,37,-14,17,0.89
13,Helmond Sport,19,7,6,6,30,24,6,27,1.42,19,5,4,10,23,37,-14,19,1.0
14,VVV-Venlo,19,5,5,9,22,30,-8,20,1.05,19,6,3,10,22,39,-17,21,1.11
15,MVV Maastricht,19,9,4,6,38,24,14,31,1.63,19,1,6,12,14,35,-21,9,0.47
16,Oss,19,8,4,7,20,31,-11,28,1.47,19,0,10,9,11,30,-19,10,0.53
17,Jong Ajax,19,6,6,7,20,17,3,24,1.26,19,3,3,13,17,35,-18,12,0.63
18,Jong PSV,19,4,3,12,33,48,-15,15,0.79,19,4,3,12,22,38,-16,15,0.79
19,Jong Utrecht,19,3,6,10,17,34,-17,15,0.79,19,1,5,13,14,48,-34,8,0.42
20,Vitesse,19,7,5,7,26,31,-5,26,1.37,19,4,6,9,28,42,-14,18,0.95
