Rk,球队,场次,W,D,L,进球,失球,净胜球,积分,Pts/MP,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Volendam,38,26,4,8,87,48,39,82,2.16,5985,Henk Veerman - 26,Kayne van Oevelen,Promoted
2,Excelsior,38,22,8,8,74,38,36,74,1.95,3448,"Lance Duijvestijn, Derensili Fernandes - 11",Calvin Raatsie,Promoted
3,Cambuur,38,22,5,11,63,42,21,71,1.87,12724,Remco Balk - 17,Thijs Jansen,→ First Round
4,ADO Den Haag,38,20,10,8,69,47,22,70,1.84,8538,Lee Bonis - 11,Kilian Nikiema,→ First Round
5,Dordrecht,38,20,8,10,69,46,23,68,1.79,2810,Devin Haen - 12,Liam Bossin,→ First Round
6,De Graafschap,38,19,8,11,73,50,23,65,1.71,10724,Tristan van Gilst - 11,Joshua Smits,→ First Round
7,Telstar,38,17,10,11,69,47,22,61,1.61,2615,Youssef El Kachati - 19,Ronald Koeman Jr.,→ First Round
8,Emmen,38,17,5,16,56,53,3,56,1.47,7606,Kelian Nsona Wa Saka - 13,Luca Unbehaun,
9,Den Bosch,38,15,10,13,53,48,5,55,1.45,5728,Byron Burgering - 10,Pepijn van de Merbel,→ First Round
10,Jong AZ,38,14,10,14,69,63,6,52,1.37,687,Ro-Zangelo Daal - 15,Daniel Deen,
11,FC Eindhoven,38,14,9,15,58,64,-6,51,1.34,2751,Boris van Schuppen - 11,Jorn Brondeel,
12,Roda JC,38,13,10,15,49,57,-8,49,1.29,7721,Thibo Baeten - 7,Justin Treichel,
13,Helmond Sport,38,12,10,16,53,61,-8,46,1.21,2844,Anthony van den Hurk - 15,Wouter van der Steen,
14,VVV-Venlo,38,11,8,19,44,69,-25,41,1.08,5067,Gabin Blancquart - 5,Delano van Crooy,
15,MVV Maastricht,38,10,10,18,52,59,-7,40,1.05,4592,"Sven Braken, Camil Mmaee - 11",Romain Matthys,
16,Oss,38,8,14,16,31,61,-30,38,1.0,2952,Giovanni Korte - 7,Mike Havekotte,
17,Jong Ajax,38,9,9,20,37,52,-15,36,0.95,772,Julian Rijkhoff - 9,Charlie Setford,
18,Jong PSV,38,8,6,24,55,86,-31,30,0.79,734,Tay Abed - 14,Niek Schiks,
19,Jong Utrecht,38,4,11,23,31,82,-51,23,0.61,452,"Rafik el Arguioui, Georgios Charalampoglou - 5",Tom de Graaff,
20,Vitesse,38,11,11,16,54,73,-19,44,1.16,16037,Miliano Jonathans - 11,Tom Bramel,
