Date,Home,Away,Score,HomeGoals,AwayGoals
2025-08-08,De Graafschap,VVV-Venlo,3–2,3,2
2025-08-08,Den Bosch,Jong Ajax,2–0,2,0
2025-08-08,Oss,MVV Maastricht,4–0,4,0
2025-08-08,Dordrecht,Cambuur,1–0,1,0
2025-08-08,FC Eindhoven,Jong Utrecht,1–0,1,0
2025-08-10,Helmond Sport,Roda JC,1–3,1,3
2025-08-10,ADO Den Haag,Willem II,5–1,5,1
2025-08-11,Jong AZ,RKC Waalwijk,2–3,2,3
2025-08-11,Jong PSV,Emmen,3–1,3,1
,,,,,
2025-08-15,Cambuur,Oss,1–0,1,0
2025-08-15,Roda JC,De Graafschap,1–0,1,0
2025-08-15,RKC Waalwijk,Helmond Sport,1–1,1,1
2025-08-15,VVV-Venlo,Jong PSV,0–2,0,2
2025-08-16,MVV Maastricht,Dordrecht,0–1,0,1
2025-08-17,Emmen,Almere City,1–4,1,4
2025-08-17,Willem II,FC Eindhoven,0–1,0,1
2025-08-18,Jong Utrecht,ADO Den Haag,2–2,2,2
2025-08-18,Jong Ajax,Jong AZ,4–1,4,1
,,,,,
2025-08-22,Helmond Sport,Emmen,2–0,2,0
2025-08-22,FC Eindhoven,RKC Waalwijk,1–0,1,0
2025-08-22,Almere City,Willem II,0–1,0,1
2025-08-22,De Graafschap,MVV Maastricht,0–1,0,1
2025-08-23,Dordrecht,Jong PSV,1–2,1,2
2025-08-24,VVV-Venlo,Roda JC,3–1,3,1
2025-08-24,Den Bosch,Oss,5–2,5,2
2025-08-25,Jong AZ,Cambuur,0–1,0,1
2025-08-25,Jong Utrecht,Jong Ajax,4–3,4,3
,,,,,
2025-08-29,Jong Ajax,MVV Maastricht,0–0,0,0
2025-08-29,ADO Den Haag,Helmond Sport,2–0,2,0
2025-08-29,Willem II,Jong Utrecht,2–1,2,1
2025-08-29,Emmen,Den Bosch,3–1,3,1
2025-08-29,Roda JC,FC Eindhoven,0–0,0,0
2025-08-29,Oss,Dordrecht,0–3,0,3
2025-08-29,Jong PSV,Jong AZ,1–0,1,0
2025-08-30,RKC Waalwijk,Almere City,2–0,2,0
2025-08-31,Cambuur,VVV-Venlo,3–1,3,1
,,,,,
,Home,Away,Score,,
2025-09-05,De Graafschap,Emmen,2–3,2,3
2025-09-06,Cambuur,Willem II,2–2,2,2
,,,,,
2025-09-12,Almere City,Jong PSV,2–4,2,4
2025-09-12,Jong AZ,Vitesse,4–0,4,0
2025-09-12,Den Bosch,Dordrecht,3–3,3,3
2025-09-12,MVV Maastricht,Cambuur,0–1,0,1
2025-09-12,Jong Utrecht,RKC Waalwijk,2–0,2,0
2025-09-12,Roda JC,Jong Ajax,3–3,3,3
2025-09-12,FC Eindhoven,ADO Den Haag,0–1,0,1
2025-09-12,Emmen,Oss,1–1,1,1
2025-09-12,De Graafschap,Willem II,1–1,1,1
2025-09-13,VVV-Venlo,Helmond Sport,2–1,2,1
,,,,,
2025-09-15,Jong Ajax,ADO Den Haag,1–3,1,3
2025-09-15,Dordrecht,Jong AZ,1–1,1,1
2025-09-15,Jong PSV,Roda JC,0–1,0,1
2025-09-15,Almere City,FC Eindhoven,5–0,5,0
2025-09-16,RKC Waalwijk,Vitesse,1–1,1,1
2025-09-16,Helmond Sport,Jong Utrecht,2–1,2,1
2025-09-16,Oss,VVV-Venlo,2–1,2,1
2025-09-16,MVV Maastricht,Den Bosch,2–4,2,4
,,,,,
2025-09-19,FC Eindhoven,Oss,3–4,3,4
2025-09-19,Willem II,Jong Ajax,1–0,1,0
2025-09-19,ADO Den Haag,Almere City,2–1,2,1
2025-09-19,Roda JC,RKC Waalwijk,1–4,1,4
2025-09-19,Emmen,Dordrecht,2–0,2,0
2025-09-20,Vitesse,Helmond Sport,3–1,3,1
2025-09-21,VVV-Venlo,MVV Maastricht,1–0,1,0
2025-09-22,Jong Utrecht,Cambuur,2–4,2,4
2025-09-22,Jong PSV,Den Bosch,3–0,3,0
2025-09-22,Jong AZ,De Graafschap,1–3,1,3
,,,,,
2025-09-26,Helmond Sport,FC Eindhoven,1–0,1,0
2025-09-26,Jong Ajax,VVV-Venlo,2–4,2,4
2025-09-26,RKC Waalwijk,ADO Den Haag,1–3,1,3
2025-09-26,MVV Maastricht,Emmen,1–0,1,0
2025-09-26,Dordrecht,De Graafschap,1–1,1,1
2025-09-26,Den Bosch,Jong AZ,2–3,2,3
,Home,Away,Score,,
2025-09-26,Almere City,Jong Utrecht,4–0,4,0
2025-09-26,Cambuur,Jong PSV,5–3,5,3
2025-09-26,Oss,Roda JC,1–2,1,2
2025-09-27,Vitesse,Willem II,1–2,1,2
,,,,,
2025-09-29,RKC Waalwijk,Jong Ajax,2–1,2,1
2025-09-29,Roda JC,Cambuur,1–1,1,1
2025-09-29,De Graafschap,Almere City,3–2,3,2
2025-09-29,ADO Den Haag,Oss,5–1,5,1
2025-09-29,Jong PSV,MVV Maastricht,2–2,2,2
2025-09-30,Emmen,Vitesse,2–4,2,4
2025-09-30,Willem II,Helmond Sport,1–0,1,0
2025-09-30,VVV-Venlo,Den Bosch,0–1,0,1
2025-09-30,FC Eindhoven,Dordrecht,2–2,2,2
2025-09-30,Jong Utrecht,Jong AZ,0–0,0,0
,,,,,
2025-10-03,Cambuur,Emmen,3–2,3,2
2025-10-03,Willem II,Roda JC,1–2,1,2
2025-10-03,Jong Ajax,De Graafschap,2–2,2,2
2025-10-03,Oss,Jong PSV,1–1,1,1
2025-10-03,MVV Maastricht,FC Eindhoven,3–1,3,1
2025-10-03,Dordrecht,VVV-Venlo,2–0,2,0
2025-10-03,Den Bosch,RKC Waalwijk,2–2,2,2
2025-10-03,Jong AZ,ADO Den Haag,0–4,0,4
2025-10-03,Vitesse,Jong Utrecht,2–0,2,0
2025-10-03,Helmond Sport,Almere City,2–1,2,1
,,,,,
2025-10-06,Vitesse,Den Bosch,1–2,1,2
,,,,,
2025-10-10,Almere City,Vitesse,2–2,2,2
,,,,,
2025-10-11,Emmen,FC Eindhoven,6–0,6,0
2025-10-11,Cambuur,De Graafschap,2–0,2,0
,,,,,
2025-10-17,RKC Waalwijk,Willem II,2–3,2,3
2025-10-17,ADO Den Haag,Dordrecht,3–0,3,0
2025-10-17,Roda JC,Den Bosch,6–0,6,0
2025-10-17,Almere City,Cambuur,1–1,1,1
2025-10-17,FC Eindhoven,Vitesse,0–4,0,4
2025-10-17,Jong Ajax,Jong PSV,2–2,2,2
,Home,Away,Score,,
2025-10-17,Helmond Sport,Jong AZ,4–2,4,2
2025-10-17,VVV-Venlo,Emmen,4–0,4,0
2025-10-17,Jong Utrecht,MVV Maastricht,3–1,3,1
2025-10-18,De Graafschap,Oss,1–1,1,1
,,,,,
2025-10-20,Dordrecht,RKC Waalwijk,1–2,1,2
2025-10-20,Roda JC,Almere City,2–0,2,0
