Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
1,ADO Den Haag,20,17,1,2,56,21,35,52,2.6,W W W W L,10533,"Jari Vlak, Luka Reischl - 9",Kilian Nikiema,
2,Cambuur,21,14,5,2,46,22,24,47,2.24,W D W W W,13298,Oscar Sjöstrand - 9,Thijs Jansen,
3,De Graafschap,21,11,4,6,42,33,9,37,1.76,W W W L W,10404,"Reuven Niemeijer, Bouke Boersma - 11",Ties Wieggers,
4,Roda JC,21,9,7,5,36,30,6,34,1.62,L D L W W,7504,Anthony van den Hurk - 9,Justin Treichel,
5,Jong PSV,21,10,4,7,41,39,2,34,1.62,L W L L W,842,Robin van Duiven - 14,Niek Schiks,
6,Almere City,21,10,2,9,45,35,10,32,1.52,W W W W W,3291,Julian Rijkhoff - 10,Jonas Wendlinger,
7,Den Bosch,21,10,2,9,40,39,1,32,1.52,L W L L W,5666,Kévin Monzialo - 13,Pepijn van de Merbel,
8,VVV-Venlo,21,10,0,11,28,30,-2,30,1.43,L L W W W,4817,Bjorn van Zijl - 5,Youri Schoonderwaldt,
9,Willem II,21,8,6,7,27,30,-3,30,1.43,W L W L D,13797,Devin Haen - 11,Thomas Didillon,
10,RKC Waalwijk,21,8,5,8,33,33,0,29,1.38,W L L L W,4465,"Jesper Uneken, Tim van der Leij - 6",Mark Spenkelink,
11,Emmen,21,8,4,9,39,39,0,28,1.33,D W L W L,7470,Romano Postema - 16,Luca Unbehaun,
12,FC Eindhoven,21,8,3,10,29,41,-12,27,1.29,W L W W W,2591,Rangelo Janga - 5,Jorn Brondeel,
13,Vitesse,20,7,5,8,31,33,-2,26,1.3,L L D W L,17444,Dillion Hoogerwerf - 6,Maximilian Brüll,
14,Jong Utrecht,21,7,5,9,33,37,-4,26,1.24,W W L W L,534,Noah Ohio - 9,Kevin Gadellaa,
15,Dordrecht,21,6,6,9,26,31,-5,24,1.14,W L L L L,2645,Yannick Eduardo - 9,Celton Biai,
16,Helmond Sport,21,7,3,11,29,36,-7,24,1.14,W D L L D,2102,Maik Łukowicz - 9,Menno Bergsen,
17,MVV Maastricht,21,6,4,11,25,40,-15,22,1.05,L D W W L,3735,"Camil Mmaee, Ilano Timas - 4",Sem Westerveld,
18,Oss,21,4,8,9,26,37,-11,20,0.95,W L D L L,2155,Mart Remans - 5,Mike Havekotte,
19,Jong AZ,22,6,2,14,33,45,-12,20,0.91,L W L L L,600,Sem van Duijn - 9,Kiyani Zeggen,
20,Jong Ajax,22,3,6,13,29,43,-14,15,0.68,W L L L W,1151,"Kayden Wolff, Don O'Niel - 5",Jesse Heerkens,
