Unnamed: 0_level_0_Squad,Unnamed: 1_level_0_# Pl,Unnamed: 2_level_0_90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 17_level_0_Ast,Unnamed: 18_level_0_xAG,Expected_xA,Expected_A-xAG,Unnamed: 21_level_0_KP,Unnamed: 22_level_0_1/3,Unnamed: 23_level_0_PPA,Unnamed: 24_level_0_CrsPA,Unnamed: 25_level_0_PrgP
Ajax,35,34.0,17709,21028,84.2,308261,106502,7989,8804,90.7,7818,8712,89.7,1510,2613,57.8,60,52.5,61.1,7.5,426,1350,413,69,1646
Almere City,29,34.0,8594,13273,64.7,163206,74009,3770,4806,78.4,3330,4571,72.9,1202,2983,40.3,27,27.1,29.4,-0.1,278,870,237,59,1117
AZ Alkmaar,33,34.0,15168,18546,81.8,273906,95895,6592,7415,88.9,6614,7507,88.1,1609,2683,60.0,49,41.6,45.6,7.4,361,1232,360,74,1561
Excelsior,27,34.0,11216,14901,75.3,226424,85852,4234,5005,84.6,4908,5804,84.6,1826,3348,54.5,43,37.7,33.6,5.3,297,911,220,76,1037
Feyenoord,25,34.0,17206,20703,83.1,292765,101319,7894,8809,89.6,7654,8681,88.2,1258,2221,56.6,69,69.6,71.1,-0.6,554,1651,496,69,2088
Fortuna Sittard,32,34.0,9749,13539,72.0,187095,73730,3896,4717,82.6,4250,5280,80.5,1300,2725,47.7,24,28.7,32.2,-4.7,331,823,267,114,1097
Go Ahead Eag,23,34.0,10970,14668,74.8,202858,85504,4702,5501,85.5,4694,5668,82.8,1321,2686,49.2,30,34.4,35.0,-4.4,355,993,293,70,1234
Heerenveen,26,34.0,13187,16529,79.8,239223,86442,5746,6454,89.0,5616,6547,85.8,1480,2639,56.1,27,29.9,34.3,-2.9,369,1019,280,59,1320
Heracles Almelo,27,34.0,11267,14644,76.9,216423,78065,4488,5157,87.0,5108,5972,85.5,1456,2828,51.5,30,29.4,31.1,0.6,269,919,213,81,1083
NEC Nijmegen,28,34.0,12699,16102,78.9,230560,85781,5452,6211,87.8,5438,6364,85.4,1444,2649,54.5,42,32.0,34.9,10.0,326,964,245,69,1215
PSV Eindhoven,29,34.0,18147,21518,84.3,323577,113677,7954,8803,90.4,7844,8821,88.9,1894,2837,66.8,88,77.2,80.7,10.8,639,1803,540,116,2159
RKC Waalwijk,26,34.0,10858,14454,75.1,211948,81794,4114,4857,84.7,5007,5945,84.2,1497,2863,52.3,26,33.3,31.8,-7.3,317,975,230,69,1174
Sparta R'dam,26,34.0,11702,15343,76.3,223627,85051,4639,5497,84.4,5349,6299,84.9,1439,2718,52.9,37,33.2,37.6,3.8,332,990,305,93,1278
Twente,26,34.0,14631,18551,78.9,264863,94392,6265,7209,86.9,6527,7497,87.1,1490,2824,52.8,46,42.6,54.5,3.4,428,1336,415,82,1655
Utrecht,35,34.0,11848,15721,75.4,222561,87103,4768,5602,85.1,5411,6542,82.7,1405,2698,52.1,33,35.9,37.2,-2.9,344,1043,299,90,1403
Vitesse,31,34.0,12139,15826,76.7,226451,88010,5123,5955,86.0,5278,6205,85.1,1448,2808,51.6,24,28.9,32.6,-4.9,339,983,237,64,1210
Volendam,37,34.0,9415,12951,72.7,185124,72591,3660,4370,83.8,4245,5173,82.1,1326,2762,48.0,22,26.8,24.8,-4.8,257,776,163,57,936
Zwolle,29,34.0,12385,15989,77.5,231154,90542,5068,5930,85.5,5656,6630,85.3,1411,2653,53.2,31,31.0,32.0,0.0,322,912,256,88,1239
