Unnamed: 0_level_0_Squad,Unnamed: 1_level_0_# Pl,Unnamed: 2_level_0_Age,Unnamed: 3_level_0_Poss,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG
Ajax,35,22.4,59.6,34,374,3060,34.0,72,60,132,67,5,6,44,3,65.1,60.4,52.5,112.9,735,1646,2.12,1.76,3.88,1.97,3.74,1.91,1.54,3.46,1.78,3.32
Almere City,29,24.6,44.0,34,374,3060,34.0,32,27,59,29,3,3,69,3,34.7,32.5,27.1,59.6,421,1117,0.94,0.79,1.74,0.85,1.65,1.02,0.8,1.82,0.96,1.75
AZ Alkmaar,33,24.3,54.5,34,374,3060,34.0,68,49,117,66,2,2,47,2,56.6,55.0,41.6,96.5,656,1561,2.0,1.44,3.44,1.94,3.38,1.66,1.22,2.89,1.62,2.84
Excelsior,27,23.2,45.6,34,374,3060,34.0,48,43,91,47,1,1,51,4,45.7,45.0,37.7,82.7,574,1037,1.41,1.26,2.68,1.38,2.65,1.35,1.11,2.46,1.32,2.43
Feyenoord,25,24.0,61.8,34,374,3060,34.0,90,69,159,86,4,7,35,1,93.1,87.7,69.6,157.3,924,2088,2.65,2.03,4.68,2.53,4.56,2.74,2.05,4.78,2.58,4.63
Fortuna Sittard,32,26.8,43.2,34,374,3060,34.0,36,24,60,33,3,7,58,3,44.7,39.2,28.7,67.9,547,1097,1.06,0.71,1.76,0.97,1.68,1.31,0.84,2.16,1.15,2.0
Go Ahead Eag,23,25.4,44.9,34,374,3060,34.0,47,30,77,43,4,5,39,3,49.5,45.6,34.4,80.0,521,1234,1.38,0.88,2.26,1.26,2.15,1.46,1.01,2.47,1.34,2.35
Heerenveen,26,25.4,49.7,34,374,3060,34.0,52,27,79,45,7,8,39,4,46.9,40.7,29.9,70.6,678,1320,1.53,0.79,2.32,1.32,2.12,1.38,0.88,2.26,1.2,2.08
Heracles Almelo,27,25.5,46.3,34,374,3060,34.0,41,30,71,36,5,6,70,2,41.7,37.1,29.4,66.5,576,1083,1.21,0.88,2.09,1.06,1.94,1.23,0.86,2.09,1.09,1.96
NEC Nijmegen,28,26.0,48.4,34,374,3060,34.0,67,42,109,61,6,6,53,4,48.0,43.3,32.0,75.2,555,1215,1.97,1.24,3.21,1.79,3.03,1.41,0.94,2.35,1.27,2.21
PSV Eindhoven,29,26.1,64.5,34,374,3060,34.0,108,88,196,101,7,9,32,1,99.0,92.0,77.2,169.2,960,2159,3.18,2.59,5.76,2.97,5.56,2.91,2.27,5.18,2.71,4.98
RKC Waalwijk,26,26.2,45.3,34,374,3060,34.0,37,26,63,32,5,5,58,4,44.5,40.6,33.3,73.9,583,1174,1.09,0.76,1.85,0.94,1.71,1.31,0.98,2.29,1.19,2.17
Sparta R'dam,26,25.7,47.0,34,374,3060,34.0,49,37,86,44,5,5,39,2,46.2,42.2,33.2,75.4,523,1278,1.44,1.09,2.53,1.29,2.38,1.36,0.98,2.33,1.24,2.22
Twente,26,25.3,56.2,34,374,3060,34.0,67,46,113,64,3,3,51,3,57.9,55.7,42.6,98.3,635,1655,1.97,1.35,3.32,1.88,3.24,1.7,1.25,2.96,1.64,2.89
Utrecht,35,25.7,48.4,34,374,3060,34.0,48,33,81,47,1,1,47,2,46.3,45.5,35.9,81.3,552,1403,1.41,0.97,2.38,1.38,2.35,1.36,1.05,2.41,1.34,2.39
Vitesse,31,24.9,50.3,34,374,3060,34.0,29,24,53,28,1,1,62,5,37.7,36.9,28.9,65.8,590,1210,0.85,0.71,1.56,0.82,1.53,1.11,0.85,1.96,1.09,1.94
Volendam,37,23.4,41.4,34,374,3060,34.0,33,22,55,32,1,1,58,3,36.6,35.8,26.8,62.6,510,936,0.97,0.65,1.62,0.94,1.59,1.08,0.79,1.87,1.05,1.84
Zwolle,29,26.3,49.0,34,374,3060,34.0,45,31,76,43,2,2,67,2,43.1,41.5,31.0,72.5,520,1239,1.32,0.91,2.24,1.26,2.18,1.27,0.91,2.18,1.22,2.13
