Unnamed: 0_level_0_Squad,Unnamed: 1_level_0_# Pl,Unnamed: 2_level_0_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 15_level_0_Int,Unnamed: 16_level_0_Tkl+Int,Unnamed: 17_level_0_Clr,Unnamed: 18_level_0_Err
Ajax,37,34.0,469,254,196,189,84,238,420,56.7,182,344,96,248,276,745,714,25
Almere City,33,34.0,525,333,258,193,74,248,484,51.2,236,332,123,209,334,859,935,11
AZ Alkmaar,30,34.0,618,359,226,287,105,300,576,52.1,276,366,99,267,302,920,775,17
Feyenoord,40,34.0,512,328,194,232,86,237,414,57.2,177,321,84,237,264,776,643,30
Fortuna Sittard,30,34.0,557,344,288,194,75,298,569,52.4,271,363,109,254,327,884,968,12
Go Ahead Eag,28,34.0,452,274,224,170,58,206,401,51.4,195,349,149,200,187,639,1020,16
Groningen,29,34.0,603,385,281,247,75,316,531,59.5,215,357,102,255,294,897,912,19
Heerenveen,30,34.0,617,380,294,253,70,316,614,51.5,298,371,98,273,310,927,838,21
Heracles Almelo,24,34.0,608,373,313,233,62,269,535,50.3,266,439,147,292,303,911,1054,7
NAC Breda,30,34.0,604,365,309,233,62,298,559,53.3,261,411,157,254,300,904,1049,12
NEC Nijmegen,25,34.0,589,352,301,213,75,314,587,53.5,273,359,113,246,284,873,920,18
PSV Eindhoven,32,34.0,540,350,208,226,106,276,505,54.7,229,325,81,244,243,783,602,12
RKC Waalwijk,29,34.0,625,378,370,196,59,313,544,57.5,231,419,145,274,334,959,1041,18
Sparta R'dam,29,34.0,575,353,281,239,55,285,546,52.2,261,426,150,276,316,891,1037,8
Twente,29,34.0,557,352,239,238,80,274,529,51.8,255,370,96,274,265,822,877,14
Utrecht,27,34.0,650,400,300,267,83,283,549,51.5,266,314,97,217,330,980,940,13
Willem II,26,34.0,561,332,303,198,60,277,536,51.7,259,418,176,242,297,858,1015,12
Zwolle,26,34.0,631,399,296,248,87,300,586,51.2,286,402,127,275,315,946,1080,21
