Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Squad,Home_MP,Home_W,Home_D,Home_L,Home_GF,Home_GA,Home_GD,Home_Pts,Home_Pts/MP,Home_xG,Home_xGA,Home_xGD,Home_xGD/90,Away_MP,Away_W,Away_D,Away_L,Away_GF,Away_GA,Away_GD,Away_Pts,Away_Pts/MP,Away_xG,Away_xGA,Away_xGD,Away_xGD/90
1,PSV Eindhoven,17,13,3,1,55,15,40,42,2.47,47.0,15.0,32.1,1.89,17,12,1,4,48,24,24,37,2.18,35.9,17.6,18.3,1.08
2,Ajax,17,13,3,1,38,14,24,42,2.47,37.9,12.4,25.5,1.5,17,11,3,3,29,18,11,36,2.12,26.8,19.0,7.7,0.45
3,Feyenoord,17,11,3,3,38,18,20,36,2.12,32.6,15.8,16.7,0.98,17,9,5,3,38,20,18,32,1.88,28.8,19.3,9.5,0.56
4,Utrecht,17,9,3,5,28,24,4,30,1.76,26.7,18.9,7.8,0.46,17,9,7,1,34,21,13,34,2.0,22.6,24.7,-2.2,-0.13
5,AZ Alkmaar,17,8,4,5,30,17,13,28,1.65,32.3,13.3,19.0,1.12,17,8,5,4,28,20,8,29,1.71,22.2,20.9,1.3,0.08
6,Twente,17,10,4,3,36,21,15,34,2.0,33.2,21.0,12.2,0.72,17,5,5,7,26,28,-2,20,1.18,21.7,22.8,-1.1,-0.07
7,Go Ahead Eag,17,10,4,3,32,22,10,34,2.0,29.6,16.4,13.2,0.77,17,4,5,8,25,33,-8,17,1.0,24.8,29.2,-4.3,-0.25
8,NEC Nijmegen,17,6,6,5,36,24,12,24,1.41,28.6,19.3,9.3,0.55,17,6,1,10,15,22,-7,19,1.12,16.1,24.7,-8.5,-0.5
9,Heerenveen,17,10,6,1,30,15,15,36,2.12,26.3,18.1,8.2,0.48,17,2,1,14,12,42,-30,7,0.41,17.0,30.4,-13.4,-0.79
10,Zwolle,17,7,4,6,24,20,4,25,1.47,23.0,25.7,-2.6,-0.16,17,3,7,7,19,31,-12,16,0.94,16.0,31.2,-15.2,-0.89
11,Fortuna Sittard,17,8,1,8,17,24,-7,25,1.47,23.0,20.6,2.5,0.15,17,3,7,7,20,30,-10,16,0.94,18.3,29.1,-10.9,-0.64
12,Sparta R'dam,17,4,6,7,20,24,-4,18,1.06,22.4,19.3,3.1,0.18,17,5,6,6,19,19,0,21,1.24,20.4,25.9,-5.4,-0.32
13,Groningen,17,8,6,3,27,14,13,30,1.76,22.8,16.2,6.6,0.39,17,2,3,12,13,39,-26,9,0.53,14.8,31.0,-16.2,-0.95
14,Heracles Almelo,17,6,7,4,29,27,2,25,1.47,26.8,24.7,2.1,0.12,17,3,4,10,13,36,-23,13,0.76,15.0,35.0,-20.1,-1.18
15,NAC Breda,17,6,6,5,21,22,-1,24,1.41,22.3,21.9,0.5,0.03,17,2,3,12,13,36,-23,9,0.53,16.4,35.3,-18.9,-1.11
16,Willem II,17,3,3,11,20,27,-7,12,0.71,16.2,28.0,-11.7,-0.69,17,3,5,9,14,29,-15,14,0.82,10.3,29.1,-18.9,-1.11
17,RKC Waalwijk,17,5,3,9,25,31,-6,18,1.06,21.6,30.2,-8.6,-0.51,17,1,4,12,19,43,-24,7,0.41,19.6,39.0,-19.4,-1.14
18,Almere City,17,2,5,10,13,36,-23,11,0.65,21.7,22.4,-0.8,-0.04,17,2,5,10,10,28,-18,11,0.65,12.4,29.8,-17.4,-1.03
