Date,Home,Away,Score,xG,xG.1,HomeGoals,AwayGoals
2025-08-08,Fortuna Sittard,Go Ahead Eag,2–2,2.2,1.2,2,2
2025-08-09,NEC Nijmegen,Excelsior,5–0,2.5,1.0,5,0
2025-08-09,Feyenoord,NAC Breda,2–0,2.4,0.2,2,0
2025-08-09,Heerenveen,Volendam,1–1,1.5,0.8,1,1
2025-08-09,PSV Eindhoven,Sparta R'dam,6–1,1.7,1.2,6,1
2025-08-10,Zwolle,Twente,1–0,0.9,1.1,1,0
2025-08-10,Ajax,Telstar,2–0,1.6,1.2,2,0
2025-08-10,AZ Alkmaar,Groningen,4–1,1.5,1.5,4,1
2025-08-10,Utrecht,Heracles Almelo,4–0,2.3,0.9,4,0
,,,,,,,
2025-08-15,Telstar,Zwolle,0–2,0.9,2.4,0,2
2025-08-16,Excelsior,Feyenoord,1–2,1.1,2.4,1,2
2025-08-16,Heracles Almelo,NEC Nijmegen,1–4,1.3,3.0,1,4
2025-08-16,Groningen,Heerenveen,2–1,0.8,2.1,2,1
2025-08-17,Go Ahead Eag,Ajax,2–2,0.7,1.7,2,2
2025-08-17,Twente,PSV Eindhoven,0–2,0.9,1.7,0,2
2025-08-17,Sparta R'dam,Utrecht,2–1,1.5,1.4,2,1
2025-08-17,Volendam,AZ Alkmaar,2–2,0.5,1.4,2,2
2025-08-17,NAC Breda,Fortuna Sittard,2–1,2.0,0.7,2,1
,,,,,,,
2025-08-23,Go Ahead Eag,Sparta R'dam,0–3,2.6,1.7,0,3
2025-08-23,PSV Eindhoven,Groningen,4–2,2.4,1.3,4,2
2025-08-23,Telstar,Volendam,2–2,1.8,0.4,2,2
2025-08-24,Heerenveen,Twente,1–2,2.3,1.8,1,2
2025-08-24,NEC Nijmegen,NAC Breda,3–0,4.2,0.5,3,0
2025-08-24,Utrecht,Excelsior,4–1,1.8,1.3,4,1
2025-08-24,Ajax,Heracles Almelo,2–0,2.6,0.2,2,0
,,,,,,,
2025-08-29,Groningen,Heracles Almelo,4–0,1.8,0.5,4,0
2025-08-30,Volendam,Ajax,1–1,0.8,1.4,1,1
2025-08-30,Heerenveen,Go Ahead Eag,2–2,2.7,1.2,2,2
