Squad,TklW,Lost,Blocks,Clr
Ajax,168,95,189,453
AZ Alkmaar,168,141,192,413
Excelsior,155,136,221,485
Feyenoord,174,114,174,423
Fortuna Sittard,189,132,208,519
Go Ahead Eag,117,113,180,490
Groningen,178,137,187,385
Heerenveen,161,109,170,444
Heracles Almelo,175,117,199,613
NAC Breda,169,111,186,478
NEC Nijmegen,185,118,153,398
PSV Eindhoven,197,127,231,405
Sparta R'dam,179,153,237,623
Telstar,172,136,210,546
Twente,190,119,192,427
Utrecht,148,122,182,437
Volendam,175,122,244,512
Zwolle,159,136,232,626
