Squad,Home.xG,Home.xGA,Away.xG,Away.xGA
PSV Eindhoven,22.1,11.7,15.7,10.3
Feyenoord,21.2,9.8,17.7,9.5
Ajax,15.1,11.0,13.5,16.3
NEC Nijmegen,17.3,11.4,15.7,15.8
AZ Alkmaar,17.2,10.8,18.9,12.6
Groningen,17.2,8.7,16.0,13.2
Twente,18.1,6.9,17.9,11.3
Sparta R'dam,14.6,16.4,11.8,13.0
Heerenveen,18.6,9.7,15.3,11.9
Utrecht,14.8,11.1,8.3,14.3
Fortuna Sittard,15.7,14.0,7.7,17.1
Go Ahead Eag,13.4,12.9,10.5,19.9
Zwolle,8.5,10.8,10.5,24.4
Excelsior,13.1,18.5,9.8,16.9
Telstar,17.9,19.2,8.5,15.0
NAC Breda,13.4,10.8,9.5,19.8
Volendam,11.9,13.8,5.9,21.3
Heracles Almelo,13.4,15.2,9.6,20.8
