Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
1,PSV Eindhoven,18,16,1,1,57,22,35,49,2.72,37.8,22.0,15.8,0.88,W W W W W,34378,Guus Til - 11,Matej Kovar,
2,Feyenoord,18,11,3,4,44,23,21,36,2.0,38.9,19.4,19.5,1.09,W W L D D,47500,Ayase Ueda - 18,Timon Wellenreuther,
3,Ajax,18,9,6,3,35,24,11,33,1.83,28.6,27.3,1.4,0.08,W W W D W,47760,Mika Godts - 8,Vitezslav Jaros,
4,NEC Nijmegen,17,8,5,4,43,29,14,29,1.71,33.0,27.2,5.7,0.34,W W W D D,12650,Kento Shiogai - 7,Gonzalo Crettaz,
5,AZ Alkmaar,17,8,4,5,32,28,4,28,1.65,36.1,23.4,12.7,0.75,L L D L W,18348,Troy Parrott - 9,Rome-Jayden Owusu-Oduro,
6,Groningen,18,8,4,6,25,22,3,28,1.56,33.2,21.9,11.3,0.63,L W W D D,22340,Brynjolfur Darri Willumsson - 6,Etienne Vaessen,
7,Twente,18,6,8,4,27,22,5,26,1.44,36.0,18.1,17.9,0.99,W D W D D,29322,Ricky van Wolfswinkel - 6,Lars Unnerstall,
8,Sparta R'dam,18,8,2,8,20,31,-11,26,1.44,26.4,29.4,-3.0,-0.17,L W L W W,9842,Tobias Lauritsen - 9,Joel Drommel,
9,Heerenveen,18,6,6,6,31,28,3,24,1.33,33.9,21.6,12.4,0.69,L L W W D,22690,"Dylan Vente, Jacob Trenskow - 6",Bernt Klaverboer,
10,Utrecht,17,6,5,6,28,23,5,23,1.35,23.0,25.4,-2.4,-0.14,D D D D L,22618,"Victor Jensen, Gjivai Zechiël - 4",Vasilios Barkas,
11,Fortuna Sittard,18,6,4,8,27,31,-4,22,1.22,23.3,31.0,-7.7,-0.43,D L L W D,10621,Kaj Sierhuis - 5,Mattijs Branderhorst,
12,Go Ahead Eag,18,4,8,6,28,31,-3,20,1.11,23.9,32.8,-8.9,-0.49,D D L D D,9929,Mathis Suray - 8,Jari De Busser,
13,Zwolle,18,5,5,8,22,39,-17,20,1.11,19.1,35.3,-16.2,-0.9,W L W L D,13895,Koen Kostons - 8,Tom de Graaff,
14,Excelsior,17,6,1,10,17,32,-15,19,1.12,22.9,35.4,-12.6,-0.74,W W L W L,4207,Noah Naujoks - 5,Stijn van Gassel,
15,Telstar,18,3,6,9,22,30,-8,15,0.83,26.4,34.2,-7.8,-0.43,L D D W L,5200,"Jeff Hardeveld, Patrick Brouwer... - 3",Ronald Koeman Jr.,
16,NAC Breda,18,3,5,10,16,26,-10,14,0.78,22.9,30.6,-7.8,-0.43,L L D L D,20139,Sydney van Hooijdonk - 5,Daniel Bielica,
17,Volendam,18,3,5,10,19,32,-13,14,0.78,17.7,35.1,-17.4,-0.96,L L L L L,6728,Henk Veerman - 4,Kayne van Oevelen,
18,Heracles Almelo,18,4,2,12,26,46,-20,14,0.78,22.9,36.1,-13.1,-0.73,D D L L L,11842,Jizz Hornkamp - 10,Timo Jansink,
