Squad,GF,GA,xG,xGA,Pts
PSV Eindhoven,57,22,37.8,22.0,49
Feyenoord,44,23,38.9,19.4,36
Ajax,35,24,28.6,27.3,33
NEC Nijmegen,43,29,33.0,27.2,29
AZ Alkmaar,32,28,36.1,23.4,28
Groningen,25,22,33.2,21.9,28
Twente,27,22,36.0,18.1,26
Sparta R'dam,20,31,26.4,29.4,26
Heerenveen,31,28,33.9,21.6,24
Utrecht,28,23,23.0,25.4,23
Fortuna Sittard,27,31,23.3,31.0,22
Go Ahead Eag,28,31,23.9,32.8,20
Zwolle,22,39,19.1,35.3,20
Excelsior,17,32,22.9,35.4,19
Telstar,22,30,26.4,34.2,15
NAC Breda,16,26,22.9,30.6,14
Volendam,19,32,17.7,35.1,14
Heracles Almelo,26,46,22.9,36.1,14
