Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Kashima Antlers,38,23,7,8,58,31,27,76,2.0,27401,Leonardo - 21,Tomoki Hayakawa,
2,Kashiwa Reysol,38,21,12,5,60,34,26,75,1.97,13017,Mao Hosoya - 11,Ryosuke Kojima,
3,Kyoto Sanga,38,19,11,8,62,40,22,68,1.79,16538,Rafael Elias - 18,Gakuji Ota,
4,Sanfrecce,38,20,8,10,46,28,18,68,1.79,25585,"Sota Nakamura, Kosuke Kinoshita - 6",Keisuke Ōsako,
5,Vissel Kobe,38,18,10,10,46,33,13,64,1.68,21099,Taisei Miyashiro - 11,Daiya Maekawa,
6,Machida Zelvia,38,17,9,12,52,38,14,60,1.58,14018,Yuki Soma - 9,Kosei Tani,
7,Urawa Reds,38,16,11,11,45,39,6,59,1.55,37350,Ryoma Watanabe - 7,Shusaku Nishikawa,
8,Kawa Frontale,38,15,12,11,67,57,10,57,1.5,22050,Tatsuya Ito - 13,Louis Yamaguchi,
9,Gamba Osaka,38,17,6,15,53,55,-2,57,1.5,29862,Takashi Usami - 8,Jun Ichimori,
10,Cerezo Osaka,38,14,10,14,60,57,3,52,1.37,18654,Rafael Ratão - 18,Koki Fukui,
11,FC Tokyo,38,13,11,14,41,48,-7,50,1.32,31590,Marcelo Ryan - 8,Taishi Nozawa,
12,Avispa Fukuoka,38,12,12,14,34,38,-4,48,1.26,10031,Tomoya Miki - 6,Yuma Obata,
13,Fagi Okayama,38,12,9,17,34,43,-9,45,1.18,14587,"Ataru Esaka, Ryūnosuke Satō - 6",Svend Brodersen,
14,S-Pulse,38,11,11,16,41,51,-10,44,1.16,18803,Koya Kitagawa - 10,Yuya Oki,
15,Marinos,38,12,7,19,46,47,-1,43,1.13,26578,Asahi Uenaka - 8,Park Iru-gyu,
16,Grampus,38,11,10,17,44,56,-12,43,1.13,32263,Sho Inagaki - 11,Alexandre Pisano,
17,Tokyo Verdy,38,11,10,17,23,41,-18,43,1.13,21121,Itsuki Someno - 5,Matheus Caldeira Vidotto de Oliveira,
18,Yokohama FC,38,9,8,21,27,45,-18,35,0.92,10159,Soromon Sakuragawa - 4,Akinori Ichikawa,Relegated
19,Shonan Bellmare,38,8,8,22,36,63,-27,32,0.84,11430,Akito Suzuki - 9,Naoto Kamifukumoto,Relegated
20,Albirex Niigata,38,4,12,22,36,67,-31,24,0.63,22601,Motoki Hasegawa - 7,Kazuki Fujita,Relegated
