Unnamed: 0_level_0_Squad,Unnamed: 1_level_0_# Pl,Unnamed: 2_level_0_90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG
Blaublitz Akita,30,38.0,56,2,0,311,249,35,537,191,261,,,1
Consa Sapporo,34,38.0,56,5,1,311,342,31,513,233,302,,,2
Ehime FC,36,38.0,41,1,0,314,292,48,569,233,274,,,3
FC Imabari,31,38.0,56,4,2,341,342,50,564,195,272,,,3
Fujieda MYFC,34,38.0,56,1,1,395,290,42,598,210,299,,,0
Iwaki FC,33,38.0,45,2,1,440,316,68,678,269,305,,,2
JEF United,32,38.0,47,2,1,289,359,56,619,205,256,,,4
Júbilo Iwata,30,38.0,50,0,0,330,408,47,677,221,264,,,1
Kataller Toyama,37,38.0,36,0,0,261,250,45,468,184,236,,,0
Mito HollyHock,42,38.0,39,1,0,321,273,44,492,232,226,,,0
Montedio,34,38.0,57,1,0,301,299,54,489,176,272,,,1
Oita Trinita,32,38.0,45,2,0,343,274,42,563,236,322,,,0
Omiya Ardija,29,38.0,54,3,2,351,276,26,571,194,276,,,1
Renofa,32,38.0,38,3,1,311,351,59,584,201,276,,,1
Roasso Kumamoto,25,38.0,38,1,1,305,291,39,642,244,294,,,2
Sagan Tosu,30,38.0,40,1,0,254,342,44,536,194,223,,,0
V-V Nagasaki,34,38.0,47,1,0,293,366,41,657,223,305,,,2
Vegalta Sendai,30,38.0,49,2,1,325,277,42,551,195,252,,,1
Ventforet Kofu,32,38.0,39,2,1,263,290,34,458,232,262,,,3
Vortis,31,38.0,70,1,0,438,347,47,477,232,329,,,1
