Unnamed: 0_level_0_Squad,Unnamed: 1_level_0_# Pl,Unnamed: 2_level_0_Age,Unnamed: 3_level_0_Poss,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK
Blaublitz Akita,30,27.5,43.7,38,418,3420,38.0,42,32,74,42,0,1,56,2,1.11,0.84,1.95,1.11,1.95
Consa Sapporo,34,27.4,57.7,38,418,3420,38.0,50,31,81,49,1,2,56,5,1.32,0.82,2.13,1.29,2.11
Ehime FC,36,25.4,46.4,38,418,3420,38.0,34,23,57,34,0,0,41,1,0.89,0.61,1.5,0.89,1.5
FC Imabari,31,26.0,50.3,38,418,3420,38.0,46,32,78,45,1,1,56,4,1.21,0.84,2.05,1.18,2.03
Fujieda MYFC,34,26.4,55.3,38,418,3420,38.0,39,27,66,36,3,3,56,1,1.03,0.71,1.74,0.95,1.66
Iwaki FC,33,24.0,50.2,38,418,3420,38.0,53,41,94,50,3,4,45,2,1.39,1.08,2.47,1.32,2.39
JEF United,32,28.7,49.8,38,418,3420,38.0,53,36,89,49,4,6,47,2,1.39,0.95,2.34,1.29,2.24
Júbilo Iwata,30,28.2,61.5,38,418,3420,38.0,55,41,96,50,5,6,50,0,1.45,1.08,2.53,1.32,2.39
Kataller Toyama,37,26.4,50.4,38,418,3420,38.0,34,23,57,33,1,1,36,0,0.89,0.61,1.5,0.87,1.47
Mito HollyHock,42,25.3,54.1,38,418,3420,38.0,54,40,94,52,2,3,39,1,1.42,1.05,2.47,1.37,2.42
Montedio,34,27.1,53.3,38,418,3420,38.0,56,42,98,55,1,1,57,1,1.47,1.11,2.58,1.45,2.55
Oita Trinita,32,27.3,41.9,38,418,3420,38.0,23,14,37,22,1,1,45,2,0.61,0.37,0.97,0.58,0.95
Omiya Ardija,29,27.5,54.1,38,418,3420,38.0,58,43,101,58,0,5,54,3,1.53,1.13,2.66,1.53,2.66
Renofa,32,25.8,46.1,38,418,3420,38.0,36,25,61,36,0,1,38,3,0.95,0.66,1.61,0.95,1.61
Roasso Kumamoto,25,26.1,55.8,38,418,3420,38.0,40,26,66,38,2,4,38,1,1.05,0.68,1.74,1.0,1.68
Sagan Tosu,30,25.2,53.5,38,418,3420,38.0,43,31,74,38,5,7,40,1,1.13,0.82,1.95,1.0,1.82
V-V Nagasaki,34,28.9,55.2,38,418,3420,38.0,63,44,107,59,4,4,47,1,1.66,1.16,2.82,1.55,2.71
Vegalta Sendai,30,26.3,54.5,38,418,3420,38.0,46,34,80,44,2,2,49,2,1.21,0.89,2.11,1.16,2.05
Ventforet Kofu,32,27.5,47.2,38,418,3420,38.0,36,26,62,34,2,2,39,2,0.95,0.68,1.63,0.89,1.58
Vortis,31,27.3,55.3,38,418,3420,38.0,45,33,78,43,2,2,70,1,1.18,0.87,2.05,1.13,2.0
