Rk,球队,场次,W,D,L,进球,失球,净胜球,积分,Pts/MP,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Mito HollyHock,38,20,10,8,55,34,21,70,1.84,6006,Arata Watanabe - 13,Konosuke Nishikawa,Promoted
2,V-V Nagasaki,38,19,13,6,63,44,19,70,1.84,15877,Matheus Jesus - 19,Masaaki Goto,Promoted
3,JEF United,38,20,9,9,56,34,22,69,1.82,17376,"Carlinhos, Daichi Ishikawa - 10",Jose Aurelio Suarez,"Promoted, → Promotion play-offs — Semi-finals"
4,Vortis,38,18,11,9,45,24,21,65,1.71,7814,Lucas Barcellos - 14,Hayate Tanaka,→ Promotion play-offs — Semi-finals
5,Júbilo Iwata,38,19,7,12,59,51,8,64,1.68,12326,Matheus Peixoto - 10,Eiji Kawashima,→ Promotion play-offs — Semi-finals
6,Omiya Ardija,38,18,9,11,60,39,21,63,1.66,11316,Caprini - 11,Takashi Kasahara,→ Promotion play-offs — Semi-finals
7,Vegalta Sendai,38,16,14,8,47,36,11,62,1.63,13760,Yuta Goke - 10,Akihiro Hayashi,
8,Sagan Tosu,38,16,10,12,46,43,3,58,1.53,9382,"Hiroto Yamada, Jun Nishikawa - 6",Ryota Izumori,
9,Iwaki FC,38,15,11,12,55,44,11,56,1.47,4372,Kaina Tanimura - 8,Masato Sasaki,
10,Montedio,38,15,8,15,58,54,4,53,1.39,11068,Akira Disaro - 11,Tom Heward-Belle,
11,FC Imabari,38,13,14,11,46,46,0,53,1.39,4800,Marcus Índio - 17,Kotaro Tachikawa,
12,Consa Sapporo,38,16,5,17,50,63,-13,53,1.39,14470,Tomoki Takamine - 10,Shun Takagi,
13,Ventforet Kofu,38,11,11,16,37,45,-8,44,1.16,8390,Yoshiki Torikai - 9,Kohei Kawata,
14,Blaublitz Akita,38,11,10,17,43,59,-16,43,1.13,4953,Ren Komatsu - 10,Genki Yamada,
15,Fujieda MYFC,38,9,12,17,41,50,-9,39,1.03,5029,Ren Asakura - 9,Kai Chide Kitamura,
16,Oita Trinita,38,8,14,16,27,44,-17,38,1.0,10403,Kotaro Arima - 5,Taro Hamada,
17,Kataller Toyama,38,9,10,19,34,49,-15,37,0.97,5635,Shosei Usui - 5,Tomoki Tagawa,
18,Roasso Kumamoto,38,9,10,19,41,57,-16,37,0.97,6700,Ryo Shiohama - 10,Yuya Satō,
19,Renofa,38,7,15,16,36,47,-11,36,0.95,5751,Ota Yamamoto - 10,Nick Marsman,
20,Ehime FC,38,3,13,22,35,71,-36,22,0.58,4730,Ryo Sato - 5,Shugo Tsuji,Relegated
