Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Squad,Home_MP,Home_W,Home_D,Home_L,Home_GF,Home_GA,Home_GD,Home_Pts,Home_Pts/MP,Away_MP,Away_W,Away_D,Away_L,Away_GF,Away_GA,Away_GD,Away_Pts,Away_Pts/MP
1,Mito HollyHock,19,10,6,3,30,16,14,36,1.89,19,10,4,5,25,18,7,34,1.79
2,V-V Nagasaki,19,11,6,2,33,19,14,39,2.05,19,8,7,4,30,25,5,31,1.63
3,JEF United,19,10,5,4,35,20,15,35,1.84,19,10,4,5,21,14,7,34,1.79
4,Vortis,19,9,5,5,21,14,7,32,1.68,19,9,6,4,24,10,14,33,1.74
5,Júbilo Iwata,19,11,2,6,30,24,6,35,1.84,19,8,5,6,29,27,2,29,1.53
6,Omiya Ardija,19,9,5,5,30,19,11,32,1.68,19,9,4,6,30,20,10,31,1.63
7,Vegalta Sendai,19,8,6,5,24,18,6,30,1.58,19,8,8,3,23,18,5,32,1.68
8,Sagan Tosu,19,9,6,4,25,21,4,33,1.74,19,7,4,8,21,22,-1,25,1.32
9,Iwaki FC,19,7,7,5,30,20,10,28,1.47,19,8,4,7,25,24,1,28,1.47
10,Montedio,19,8,4,7,30,27,3,28,1.47,19,7,4,8,28,27,1,25,1.32
11,FC Imabari,19,4,9,6,23,25,-2,21,1.11,19,9,5,5,23,21,2,32,1.68
12,Consa Sapporo,19,9,2,8,26,30,-4,29,1.53,19,7,3,9,24,33,-9,24,1.26
13,Ventforet Kofu,19,5,5,9,18,23,-5,20,1.05,19,6,6,7,19,22,-3,24,1.26
14,Blaublitz Akita,19,5,6,8,19,24,-5,21,1.11,19,6,4,9,24,35,-11,22,1.16
15,Fujieda MYFC,19,6,6,7,23,25,-2,24,1.26,19,3,6,10,18,25,-7,15,0.79
16,Oita Trinita,19,5,8,6,14,16,-2,23,1.21,19,3,6,10,13,28,-15,15,0.79
17,Kataller Toyama,19,5,4,10,21,24,-3,19,1.0,19,4,6,9,13,25,-12,18,0.95
18,Roasso Kumamoto,19,6,4,9,19,24,-5,22,1.16,19,3,6,10,22,33,-11,15,0.79
19,Renofa,19,5,8,6,22,22,0,23,1.21,19,2,7,10,14,25,-11,13,0.68
20,Ehime FC,19,1,4,14,14,36,-22,7,0.37,19,2,9,8,21,35,-14,15,0.79
