Unnamed: 0_level_0_Squad,Unnamed: 1_level_0_# Pl,Unnamed: 2_level_0_90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG
Daegu,40,38.0,57,2,0,139,147,13,234,108,112,,,3
Daejeon Citizen FC,39,38.0,66,5,4,56,43,8,76,41,44,,,1
FC Anyang,34,38.0,77,3,0,128,95,14,174,105,98,,,1
FC Seoul,34,38.0,63,1,1,78,94,6,157,57,56,,,0
Gangwon,39,38.0,76,3,1,103,83,14,163,97,90,,,1
Gwangju FC,35,38.0,77,3,3,94,114,19,143,62,85,,,2
Jeju United FC,34,38.0,74,9,3,133,116,19,237,85,101,,,1
Jeonbuk Hyundai,30,38.0,84,1,0,115,106,20,153,75,78,,,3
Pohang,38,38.0,57,3,0,104,106,15,136,80,89,,,1
Sangju Sangmu,47,38.0,51,1,0,90,65,5,145,74,67,,,1
Suwon FC,38,38.0,59,0,0,125,143,20,194,101,98,,,3
Ulsan HD,32,38.0,75,2,2,81,76,10,187,67,63,,,0
