Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Squad,Home_MP,Home_W,Home_D,Home_L,Home_GF,Home_GA,Home_GD,Home_Pts,Home_Pts/MP,Away_MP,Away_W,Away_D,Away_L,Away_GF,Away_GA,Away_GD,Away_Pts,Away_Pts/MP
1.0,Jeonbuk Hyundai,20.0,12.0,5.0,3.0,38.0,21.0,17.0,41.0,2.05,18.0,11.0,5.0,2.0,26.0,11.0,15.0,38.0,2.11
2.0,Daejeon Citizen FC,19.0,10.0,5.0,4.0,26.0,20.0,6.0,35.0,1.84,19.0,8.0,6.0,5.0,32.0,26.0,6.0,30.0,1.58
3.0,Sangju Sangmu,20.0,10.0,3.0,7.0,28.0,19.0,9.0,33.0,1.65,18.0,8.0,4.0,6.0,31.0,26.0,5.0,28.0,1.56
4.0,Pohang,19.0,9.0,4.0,6.0,21.0,22.0,-1.0,31.0,1.63,19.0,7.0,4.0,8.0,20.0,24.0,-4.0,25.0,1.32
5.0,Gangwon,19.0,6.0,9.0,4.0,18.0,20.0,-2.0,27.0,1.42,19.0,7.0,4.0,8.0,19.0,21.0,-2.0,25.0,1.32
6.0,FC Seoul,19.0,7.0,6.0,6.0,32.0,28.0,4.0,27.0,1.42,19.0,5.0,7.0,7.0,18.0,24.0,-6.0,22.0,1.16
,,,,,,,,,,,,,,,,,,,
7.0,Gwangju FC,19.0,8.0,4.0,7.0,23.0,20.0,3.0,28.0,1.47,19.0,7.0,5.0,7.0,17.0,21.0,-4.0,26.0,1.37
8.0,FC Anyang,19.0,8.0,4.0,7.0,29.0,22.0,7.0,28.0,1.47,19.0,6.0,3.0,10.0,20.0,25.0,-5.0,21.0,1.11
9.0,Ulsan HD,19.0,7.0,5.0,7.0,23.0,20.0,3.0,26.0,1.37,19.0,4.0,6.0,9.0,19.0,30.0,-11.0,18.0,0.95
10.0,Suwon FC,19.0,7.0,5.0,7.0,27.0,25.0,2.0,26.0,1.37,19.0,4.0,4.0,11.0,24.0,33.0,-9.0,16.0,0.84
11.0,Jeju United FC,18.0,6.0,4.0,8.0,22.0,24.0,-2.0,22.0,1.22,20.0,4.0,5.0,11.0,18.0,29.0,-11.0,17.0,0.85
12.0,Daegu,18.0,5.0,6.0,7.0,24.0,26.0,-2.0,21.0,1.17,20.0,2.0,7.0,11.0,23.0,41.0,-18.0,13.0,0.65
