Rk,球队,场次,W,D,L,进球,失球,净胜球,积分,Pts/MP,Attendance,Top Team Scorer,Goalkeeper,Notes
1.0,Jeonbuk Hyundai,38.0,23.0,10.0,5.0,64.0,32.0,32.0,79.0,2.08,18425.0,Jeon Jinwoo - 16,Song Bumkeun,
2.0,Daejeon Citizen FC,38.0,18.0,11.0,9.0,58.0,46.0,12.0,65.0,1.71,10618.0,Joo Minkyu - 14,Lee Chang-keun,
3.0,Sangju Sangmu,38.0,18.0,7.0,13.0,59.0,45.0,14.0,61.0,1.61,2682.0,Lee Dong-gyeong - 13,Kim Dongheon,
4.0,Pohang,38.0,16.0,8.0,14.0,41.0,46.0,-5.0,56.0,1.47,10248.0,Lee Hojae - 15,Hwang Injae,
5.0,Gangwon,38.0,13.0,13.0,12.0,37.0,41.0,-4.0,52.0,1.37,7078.0,"Kim Gun-hee, Mo Jaehyeon - 5",Lee Gwangyeon,
6.0,FC Seoul,38.0,12.0,13.0,13.0,50.0,52.0,-2.0,49.0,1.29,23185.0,Jesse Lingard - 10,Kang Hyeon-mu,
,,,,,,,,,,,,,,
7.0,Gwangju FC,38.0,15.0,9.0,14.0,40.0,41.0,-1.0,54.0,1.42,4180.0,Isnairo Reis - 10,Kim Kyeong-min,
8.0,FC Anyang,38.0,14.0,7.0,17.0,49.0,47.0,2.0,49.0,1.29,7592.0,Bruno Mota - 14,Kim Da-sol,
9.0,Ulsan HD,38.0,11.0,11.0,16.0,42.0,50.0,-8.0,44.0,1.16,14571.0,Erick Farias - 10,Jo Hyeon-woo,
10.0,Suwon FC,38.0,11.0,9.0,18.0,51.0,58.0,-7.0,42.0,1.11,4669.0,Pablo Sabbag - 17,Ahn Joon-soo,
11.0,Jeju United FC,38.0,10.0,9.0,19.0,40.0,53.0,-13.0,39.0,1.03,7204.0,Yuri Jonathan - 13,Kim Dong-jun,
12.0,Daegu,38.0,7.0,13.0,18.0,47.0,67.0,-20.0,34.0,0.89,10495.0,Cesinha - 12,Han Taehui,Relegated
