Unnamed: 0_level_0_Squad,Unnamed: 1_level_0_# Pl,Unnamed: 2_level_0_Age,Unnamed: 3_level_0_Poss,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK
Daegu,40,27.5,51.7,38,418,3420,38.0,45,36,81,40,5,5,57,2,1.18,0.95,2.13,1.05,2.0
Daejeon Citizen FC,39,28.3,53.5,38,418,3420,38.0,58,39,97,50,8,9,66,5,1.53,1.03,2.55,1.32,2.34
FC Anyang,34,30.3,44.7,38,418,3420,38.0,48,26,74,46,2,5,77,3,1.26,0.68,1.95,1.21,1.89
FC Seoul,34,28.2,57.8,38,418,3420,38.0,47,37,84,44,3,4,63,1,1.24,0.97,2.21,1.16,2.13
Gangwon,39,26.3,56.5,38,418,3420,38.0,37,24,61,34,3,3,76,3,0.97,0.63,1.61,0.89,1.53
Gwangju FC,35,27.9,59.2,38,418,3420,38.0,39,25,64,33,6,7,77,3,1.03,0.66,1.68,0.87,1.53
Jeju United FC,34,28.6,56.3,38,418,3420,38.0,39,29,68,36,3,5,74,9,1.03,0.76,1.79,0.95,1.71
Jeonbuk Hyundai,30,29.0,58.6,38,418,3420,38.0,61,41,102,54,7,7,84,1,1.61,1.08,2.68,1.42,2.5
Pohang,38,27.5,50.0,38,418,3420,38.0,41,29,70,35,6,8,57,3,1.08,0.76,1.84,0.92,1.68
Sangju Sangmu,47,26.4,59.3,38,418,3420,38.0,57,41,98,54,3,5,51,1,1.5,1.08,2.58,1.42,2.5
Suwon FC,38,27.5,47.6,38,418,3420,38.0,48,24,72,44,4,5,59,0,1.26,0.63,1.89,1.16,1.79
Ulsan HD,32,28.9,56.1,38,418,3420,38.0,41,32,73,37,4,5,75,2,1.08,0.84,1.92,0.97,1.82
