Squad,TklW,Lost,Blocks,Clr
Alavés,206,176,211,466
Athletic Club,177,159,202,442
Atlético Madrid,186,178,180,407
Barcelona,178,116,185,335
Betis,184,186,193,602
Celta Vigo,167,131,175,505
Elche,190,118,160,429
Espanyol,198,161,205,478
Getafe,215,158,219,526
Girona,174,132,172,518
Levante,176,134,216,551
Mallorca,146,132,218,553
Osasuna,169,132,192,552
Oviedo,198,144,186,556
Rayo Vallecano,178,164,227,471
Real Madrid,197,121,214,357
Real Sociedad,214,168,187,452
Sevilla,220,151,183,476
Valencia,154,103,169,496
Villarreal,194,149,216,463
