Squad,Home.xG,Home.xGA,Away.xG,Away.xGA
Barcelona,21.7,7.5,21.6,17.4
Real Madrid,21.9,8.8,22.8,12.9
Villarreal,17.8,11.1,12.0,10.0
Atlético Madrid,20.3,8.4,10.1,13.8
Espanyol,16.0,13.3,11.7,8.8
Betis,15.7,10.9,13.6,12.8
Celta Vigo,13.1,12.4,11.3,12.4
Athletic Club,14.7,7.6,11.0,11.6
Elche,16.0,13.1,5.4,14.3
Rayo Vallecano,13.5,7.9,12.6,16.0
Real Sociedad,13.5,11.0,12.3,12.9
Getafe,5.1,9.5,8.0,10.7
Girona,10.4,18.1,10.4,14.3
Sevilla,11.7,13.0,7.5,17.1
Osasuna,10.8,9.2,9.9,15.5
Alavés,11.8,11.1,8.5,11.7
Mallorca,10.1,11.3,9.0,19.6
Valencia,14.9,8.0,7.0,17.0
Levante,9.8,17.0,12.7,13.3
Oviedo,8.3,17.3,9.1,15.1
