Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Barcelona,19,16,1,2,53,20,33,49,2.58,43.3,24.9,18.4,0.97,W W W W W,36275,Ferrán Torres - 11,Joan García,
2,Real Madrid,19,14,3,2,41,17,24,45,2.37,44.7,21.7,23.0,1.21,W L W W W,73828,Kylian Mbappé - 18,Thibaut Courtois,
3,Villarreal,18,13,2,3,37,17,20,41,2.28,29.8,21.1,8.7,0.49,W W L W W,18089,Alberto Moleiro - 8,Luiz Lúcio Reis Júnior,
4,Atlético Madrid,19,11,5,3,34,17,17,38,2.0,30.4,22.3,8.1,0.42,L L W W D,61932,Julián Álvarez - 7,Jan Oblak,
5,Espanyol,19,10,4,5,23,20,3,34,1.79,27.8,22.1,5.7,0.3,W W W L D,29497,Pere Milla - 6,Marko Dmitrović,
6,Betis,19,7,8,4,31,25,6,29,1.53,29.3,23.7,5.6,0.29,L D W L D,58350,Cucho - 8,Álvaro Vallés,
7,Celta Vigo,19,7,8,4,25,20,5,29,1.53,24.4,24.8,-0.4,-0.02,W W D W W,20274,Borja Iglesias - 7,Ionuț Radu,
8,Athletic Club,19,7,3,9,17,25,-8,24,1.26,25.7,19.2,6.5,0.34,L W L L D,48284,"Roberto Navarro, Nico Williams - 3",Unai Simón,
9,Elche,19,5,8,6,25,24,1,23,1.21,21.4,27.4,-6.0,-0.32,W L W L D,26999,Rafa Mir - 6,Iñaki Peña,
10,Rayo Vallecano,19,5,7,7,16,22,-6,22,1.16,26.2,23.9,2.2,0.12,L D L D W,12697,Jorge de Frutos - 6,Augusto Batalla,
11,Real Sociedad,19,5,6,8,24,27,-3,21,1.11,25.8,23.9,1.9,0.1,L L D D W,30966,Mikel Oyarzabal - 5,Álex Remiro,
12,Getafe,19,6,3,10,15,25,-10,21,1.11,13.0,20.2,-7.2,-0.38,L L L D L,8238,Borja Mayoral - 4,David Soria,
13,Girona,19,5,6,8,18,34,-16,21,1.11,20.7,32.4,-11.6,-0.61,L W L W W,11671,Vladyslav Vanat - 5,Paulo Gazzaniga,
14,Sevilla,19,6,2,11,24,30,-6,20,1.05,19.2,30.1,-10.9,-0.58,D W L L L,35754,"Ruben Vargas, Akor Adams... - 3",Odysseas Vlachodimos,
15,Osasuna,19,5,4,10,18,22,-4,19,1.0,20.8,24.7,-3.9,-0.21,W L W D L,20347,Ante Budimir - 6,Sergio Herrera,
16,Alavés,19,5,4,10,16,24,-8,19,1.0,20.4,22.8,-2.4,-0.13,W L L D L,16867,"Lucas Boyé, Carlos Vicente - 4",Antonio Sivera,
17,Mallorca,19,4,6,9,21,28,-7,18,0.95,19.1,30.9,-11.7,-0.62,D W D L L,17226,Vedat Muriqi - 11,Leo Román,
18,Valencia,19,3,8,8,18,31,-13,17,0.89,21.9,25.0,-3.1,-0.17,D L D L D,44533,Hugo Duro - 6,Julen Agirrezabala,
19,Levante,18,3,5,10,21,30,-9,14,0.78,22.6,30.3,-7.8,-0.43,L L D W D,20779,Karl Etta Eyong - 5,Mathew Ryan,
20,Oviedo,19,2,7,10,9,28,-19,13,0.68,17.4,32.5,-15.1,-0.8,D L D D D,25477,"Salomón Rondón, Federico Viñas - 2",Aarón Escandell,
