Squad,GF,GA,xG,xGA,Pts
Barcelona,53,20,43.3,24.9,49
Real Madrid,41,17,44.7,21.7,45
Villarreal,37,17,29.8,21.1,41
Atlético Madrid,34,17,30.4,22.3,38
Espanyol,23,20,27.8,22.1,34
Betis,31,25,29.3,23.7,29
Celta Vigo,25,20,24.4,24.8,29
Athletic Club,17,25,25.7,19.2,24
Elche,25,24,21.4,27.4,23
Rayo Vallecano,16,22,26.2,23.9,22
Real Sociedad,24,27,25.8,23.9,21
Getafe,15,25,13.0,20.2,21
Girona,18,34,20.7,32.4,21
Sevilla,24,30,19.2,30.1,20
Osasuna,18,22,20.8,24.7,19
Alavés,16,24,20.4,22.8,19
Mallorca,21,28,19.1,30.9,18
Valencia,18,31,21.9,25.0,17
Levante,21,30,22.6,30.3,14
Oviedo,9,28,17.4,32.5,13
