Round,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes
Ligue 1,1,Fri,2023-08-11,21:00 (03:00),Nice,1.2,1–1,1.3,Lille,29436,Stade de Nice,Benoît Bastien,Match Report,
Ligue 1,1,Sat,2023-08-12,17:00 (23:00),Marseille,1.0,2–1,0.8,Reims,63787,Orange Vélodrome,Eric Wattellier,Match Report,
Ligue 1,1,Sat,2023-08-12,21:00 (03:00),Paris S-G,1.2,0–0,0.1,Lorient,47000,Parc des Princes,Bastien Dechepy,Match Report,
Ligue 1,1,Sun,2023-08-13,13:00 (19:00),Brest,2.5,3–2,0.7,Lens,15085,Stade Francis-Le Blé,Jérémie Pignard,Match Report,
Ligue 1,1,Sun,2023-08-13,15:00 (21:00),Montpellier,1.6,2–2,1.0,Le Havre,15852,Stade de la Mosson,Clément Turpin,Match Report,
Ligue 1,1,Sun,2023-08-13,15:00 (21:00),Clermont Foot,1.8,2–4,2.5,Monaco,10453,Stade Gabriel Montpied,François Letexier,Match Report,
Ligue 1,1,Sun,2023-08-13,15:00 (21:00),Nantes,1.1,1–2,1.1,Toulouse,30578,Stade de la Beaujoire - Louis Fonteneau,Willy Delajod,Match Report,
Ligue 1,1,Sun,2023-08-13,17:05 (23:05),Rennes,4.0,5–1,0.4,Metz,26065,Roazhon Park,Jeremy Stinat,Match Report,
Ligue 1,1,Sun,2023-08-13,20:45 (02:45),Strasbourg,1.3,2–1,1.7,Lyon,25410,Stade de la Meinau,Jérôme Brisard,Match Report,
,,,,,,,,,,,,,,
Ligue 1,2,Fri,2023-08-18,21:00 (03:00),Metz,0.5,2–2,1.9,Marseille,26661,Stade Saint-Symphorien,Jérôme Brisard,Match Report,
Ligue 1,2,Sat,2023-08-19,19:00 (01:00),Lyon,0.4,1–4,2.9,Montpellier,42576,Groupama Stadium,Mathieu Vernice,Match Report,
Ligue 1,2,Sat,2023-08-19,21:00 (03:00),Toulouse,1.2,1–1,2.1,Paris S-G,27332,Stadium Municipal,Thomas Léonard,Match Report,
Ligue 1,2,Sun,2023-08-20,13:00 (19:00),Lille,2.2,2–0,1.1,Nantes,34356,Decathlon Arena - Stade Pierre-Mauroy,Pierre Gaillouste,Match Report,
Ligue 1,2,Sun,2023-08-20,15:00 (21:00),Le Havre,1.2,1–2,1.1,Brest,19574,Stade Océane,Florent Batta,Match Report,
Ligue 1,2,Sun,2023-08-20,15:00 (21:00),Lorient,0.8,1–1,1.7,Nice,15848,Stade du Moustoir,Hakim Ben El Hadj Salem,Match Report,
Ligue 1,2,Sun,2023-08-20,15:00 (21:00),Reims,2.4,2–0,0.4,Clermont Foot,12887,Stade Auguste-Delaune,Romain Lissorgue,Match Report,
Ligue 1,2,Sun,2023-08-20,19:00 (01:00),Monaco,0.9,3–0,0.5,Strasbourg,10100,Stade Louis II,Ruddy Buquet,Match Report,
Ligue 1,2,Sun,2023-08-20,20:45 (02:45),Lens,1.0,1–1,1.4,Rennes,37233,Stade Bollaert-Delelis,Benoît Millot,Match Report,
,,,,,,,,,,,,,,
Ligue 1,3,Fri,2023-08-25,21:00 (03:00),Nantes,1.0,3–3,3.3,Monaco,28429,Stade de la Beaujoire - Louis Fonteneau,Jérémie Pignard,Match Report,
Ligue 1,3,Sat,2023-08-26,19:00 (01:00),Marseille,2.9,2–0,1.5,Brest,63592,Orange Vélodrome,Jeremy Stinat,Match Report,
Ligue 1,3,Sat,2023-08-26,21:00 (03:00),Paris S-G,1.5,3–1,0.5,Lens,47864,Parc des Princes,François Letexier,Match Report,
